ID;NAME;START_NODE_ID;END_NODE_ID;SEG_TYPE_ID;DEFAULT_LENGTH;AVG_DURATION;VISIBLE
8199;505_Matosinhos Mercado_Guifoes;1066;46;1;4880;1;Y
8200;806_Portelinha_Carvalha;130;1148;1;1710;1;Y
8201;806_Carvalha_Portelinha;1148;130;1;1540;1;Y
8202;901_Trindade_Ponte de Luis I;746;1149;1;2360;1;Y
8203;901_Ponte de Luis I_Trindade;1149;746;1;2260;1;Y
8204;901_Ponte de Luis I_Candal;1149;20;1;3570;1;Y
8205;901_Candal_Ponte de Luis I;20;1149;1;3840;1;Y
8206;901_Candal_Coimbroes;20;21;1;1470;1;Y
8207;901_Coimbroes_Candal;21;20;1;1200;1;Y
8208;901_Coimbroes_Rego D'Agua;21;109;1;1770;1;Y
8209;901_Rego D'Agua_Coimbroes;109;21;1;1540;1;Y
8210;901_Rego D'Agua_Cabine;109;110;1;1890;1;Y
8211;901_Cabine_Rego D'Agua;110;109;1;1910;1;Y
8212;902_Casa da Musica_Praca da Galiza;1112;19;1;1400;1;Y
8213;902_Praca da Galiza_Casa da Musica;19;1112;1;1060;1;Y
8214;902_Praca da Galiza_Candal;19;20;1;5240;1;Y
8215;902_Candal_Praca da Galiza;20;19;1;4950;1;Y
8216;902_Candal_Alumiara;20;1150;1;2870;1;Y
8217;902_Alumiara_Candal;1150;20;1;2910;1;Y
8218;902_Alumiara_Lavadores;1150;150;1;1630;1;Y
8219;902_Lavadores_Alumiara;150;1150;1;1420;1;Y
8224;903_Candal_Coimbroes;20;21;1;1560;1;Y
8226;903_Coimbroes_Stº Ovidio;21;53;1;5120;1;Y
8227;903_Stº Ovidio_Coimbroes;53;21;1;6550;1;Y
8245;UON_Azevedo;1;145;2;8000;10;Y
8246;Azevedo_UON;145;1;2;8000;10;Y
807216;Parque Nascente_UOF;800467;11;2;8400;1;Y
807217;UOF_Campo;11;140;2;21800;1;Y
8262;205_Freixo_Campanha;51;34;1;1050;1;Y
8263;207_Campanha_S.Lazaro;34;103;1;1570;1;Y
8264;207_S.Lazaro_Campanha;103;34;1;1530;1;Y
8269;207_Praca da Galiza_Lordelo;19;30;1;1910;1;Y
8270;207_Lordelo_Praca da Galiza;30;19;1;1820;1;Y
8273;300_Aliados_Carvalhido;38;104;1;3180;1;Y
8274;300_Carvalhido_Stª Luzia;104;65;1;1530;1;Y
8275;300_Stª Luzia_Bairro do Amial;65;114;1;380;1;Y
8279;300_Campo 24 Agosto_Aliados;183;38;1;1460;1;Y
8305;UOF_Santa Luzia;11;65;2;3100;1;Y
8306;Santa Luzia_UOF;65;11;2;3400;1;Y
8307;UOF_S.Roque;11;7;2;9000;1;Y
8308;UOF_Matosinhos Mercado;11;1066;2;6400;1;Y
8309;Matosinhos Mercado_UOF;1066;11;2;6000;1;Y
8310;UOF_Matosinhos Praia;11;1106;2;6000;1;Y
8311;Matosinhos Praia_UOF;1106;11;2;6100;1;Y
8312;UOF_Amial;11;73;2;4900;1;Y
8314;508_Cabo do Mundo_Freixieiro;76;86;1;3860;1;Y
807234;404_Estadio  Dragão_C.24 Agosto;1506;183;1;2800;1;Y
807235;404_C.24 Agosto_Estadio Dragão;183;1506;1;2800;1;Y
807236;404_C.24 Agosto_Bolhão Mercado;183;82;1;1500;1;Y
8320;UOF_Casa da Musica;11;1112;2;2500;1;Y
8321;Casa da Musica_UOF;1112;11;2;2600;10;Y
807237;404_Bolhão Mercado_C.24 Agosto;82;183;1;1500;1;Y
8332;704_Bom Sucesso_Carvalhido;60;104;1;1320;1;Y
8333;704_Carvalhido_Bom Sucesso;104;60;1;2200;1;Y
8334;704_Carvalhido_Hospital de S.Joao;104;28;1;4010;1;Y
8335;704_Hospital de S.Joao_Carvalhido;28;104;1;4150;1;Y
8336;704_Hospital de S.Joao_Areosa;28;27;1;1750;1;Y
8337;704-Areosa_Hospital de S.Joao;27;28;1;1710;1;Y
8338;704_Areosa_Alto da Maia;27;123;1;3050;1;Y
401881;Valongo_UON;122;1;2;15100;25;Y
401921;705_Ermesinde_Alto da Maia;63;123;1;2440;7;Y
8339;704_Alto da Maia_Areosa;123;27;1;3420;1;Y
8340;704_Alto da Maia_Ermesinde;123;63;1;2450;1;Y
8341;704_Ermesinde_Alto da Maia;63;123;1;2350;1;Y
8342;704_Ermesinde_Codiceira;63;64;1;6480;1;Y
8343;704_Codiceira_Ermesinde;64;63;1;6840;1;Y
8346;805_Rio Tinto(estacao)_Forno;1127;132;1;2910;1;Y
8347;805_Forno_Areosa;132;27;1;3930;1;Y
8348;803_Areosa_Hospital de S.Joao;27;28;1;1410;1;Y
8349;803_Hospital de S.Joao_Carvalhido;28;104;1;4540;1;Y
8351;803_Hospital de S.Joao_Areosa;28;27;1;1530;1;Y
8353;803_Areosa_Rio Tinto(estacao);27;1127;1;2800;1;Y
8354;803_Rio Tinto(estacao)_Areosa;1127;27;1;2920;1;Y
8355;803_Rio Tinto(estacao)_Rio Tinto(igreja);1127;1126;1;770;1;Y
8356;803_Rio Tinto_Rio Tinto(Igreja);133;1126;1;2590;1;Y
8357;UON_Trindade;1;746;2;5900;1;Y
8358;Trindade_UON;746;1;2;5800;1;Y
805674;35_Levada_Fanzeres;800367;800347;1;5000;1;Y
805675;35_Fanzeres_Levada;800347;800367;1;5000;1;Y
8366;301_Campo 24 Agosto_Silva Tapada;183;49;1;2660;1;Y
8367;301_Silva Tapada_Hospital de S.Joao;49;28;1;2460;1;Y
805212;UOF_Cabine;11;110;2;9700;1;Y
8370;301_Stª Luzia_Carvalhido;65;104;1;1360;1;Y
805474;202_Fonte da Moura_Passeio Alegre;3;25;1;3920;10;Y
805475;202_Passeio Alegre_Fonte da Moura;25;3;1;3870;10;Y
805414;904_Bolhao_Gaia Camara;23;908;1;4450;1;Y
12265;UOF_Queimodromo;11;1686;2;5000;1;Y
12266;Queimodromo_UOF;1686;11;2;5000;1;Y
8376;904_Gaia Camara_Coimbroes;908;21;1;2510;1;Y
8377;904_Coimbroes_Gaia Camara;21;908;1;3410;1;Y
8378;904_Coimbroes_Coimbroes Sul;21;1207;1;900;1;Y
8379;904_Coimbroes Sul_Coimbroes;1207;21;1;730;1;Y
12545;506_Padrao da Legua_Norteshopping;606;1186;1;3950;1;Y
12546;506_Norteshopping_Padrao da Legua;1186;606;1;4160;1;Y
12547;506_Norteshopping_Matosinhos Camara;1186;1108;1;2740;1;Y
12548;506_Matosinhos Camara_Norteshopping;1108;1186;1;2820;1;Y
8488;905_Bolhao_Aliados;23;38;1;1040;1;Y
8489;905_Aliados_Gaia Camara;38;908;1;3680;1;Y
12549;506_Matosinhos Camara_Matosinhos Mercado;1108;1066;1;2170;1;Y
12550;506_Matosinhos Mercado_Matosinhos Camara;1066;1108;1;2280;1;Y
805415;904_Gaia Camara_Bolhao;908;23;1;4450;1;Y
8397;603_Hospital de S.Joao_Parada;28;115;1;4600;1;Y
8400;603_Gueifaes_Parada;138;115;1;2300;1;Y
8401;603_Parada_Gueifaes;115;138;1;2420;1;Y
8403;603_Gueifaes_Vermoim;138;1206;1;5970;1;Y
8404;603_Vermoim_Gueifaes;1206;138;1;6110;1;Y
8407;206_Campanha_Campo 24 Agosto;34;183;1;1210;1;Y
8408;206_Campo 24 Agosto_Campanha;183;34;1;1210;1;Y
8410;206_Marques_Campo 24 Agosto;9;183;1;2000;1;Y
8412;206_Carvalhido_Marques;104;9;1;2330;1;Y
8413;206_Carvalhido_Viso;104;2;1;3210;1;Y
8414;206_Viso_Carvalhido;2;104;1;3460;1;Y
8425;503_Casa da Musica_Pinheiro Manso;1112;305;1;2340;1;Y
8426;503_Pinheiro Manso_Casa da Musica;305;1112;1;2740;1;Y
8427;503_Pinheiro Manso_Viso;305;2;1;3720;1;Y
8428;503_Viso_Pinheiro Manso;2;305;1;3230;1;Y
8429;503_Viso_Vasco da Gama;2;1107;1;2760;1;Y
8430;503_Vasco da Gama_Viso;1107;2;1;3350;1;Y
8431;503_Vasco da Gama_Guifoes;1107;46;1;1370;1;Y
8432;503_Guifoes_Vasco da Gama;46;1107;1;1160;1;Y
8433;503_Guifoes_Gatoes;46;47;1;3750;1;Y
8434;503_Gatoes_Guifoes;47;46;1;3850;1;Y
8436;504_Casa da Musica_Lordelo;1112;30;1;2590;1;Y
8437;504_Lordelo_Casa da Musica;30;1112;1;2810;1;Y
8438;504_Lordelo_Marechal Gomes da Costa;30;31;1;3710;1;Y
8439;504_Marechal Gomes da Costa_Lordelo;31;30;1;3680;1;Y
8440;504_Marechal Gomes da Costa_Lidador;31;155;1;3840;1;Y
8441;504_Lidador_Marechal Gomes da Costa;155;31;1;3970;1;Y
8442;504_Lidador_Norteshopping;155;1186;1;1760;1;Y
8443;504_Norteshopping_Lidador;1186;155;1;1080;1;Y
8444;UOF_Norteshpping;11;1186;2;2500;1;Y
8445;Norteshopping_UOF;1186;11;2;2400;1;Y
8446;604_Hospital de S.Joao_S.Mamede;28;39;1;2410;1;Y
8448;604_S.Mamede_Gueifaes;39;138;1;4000;1;Y
8449;604_Gueifaes_S.Mamede;138;39;1;3950;1;Y
8450;604_Gueifaes-Maia Forum;138;1109;1;3830;1;Y
8451;604_Maia Forum_Gueifaes;1109;138;1;3320;1;Y
8452;604_Maia Forum_Padrao de Moreira;1109;806;1;3490;1;Y
8453;604_Padrao de Moreira_Maia Forum;806;1109;1;3720;1;Y
8456;703_Cordoaria_Marques;18;9;1;2530;1;Y
8464;905_Stº Ovidio_Monte da Virgem;53;143;1;2090;1;Y
8465;905_Monte da Virgem_Stº Ovidio;143;53;1;2070;1;Y
8466;501_Matosinhos_Carcavelos;1106;14;1;910;1;Y
8467;501_Carcavelos_Aldoar;14;13;1;2300;1;Y
