LINE_VERSION_ID;PATH_ID;ID;ORIENTATION;INTERNAL
1024;1614874;23386;0;N
846;401241;14513;0;N
846;401243;14515;0;N
842;401365;17182;0;N
1024;1614873;23387;0;N
1020;1612326;19506;0;N
1020;1612327;19507;0;N
1024;1614875;23388;0;N
800586;1613668;21168;0;N
842;401367;17183;0;N
1137;1614794;23389;0;N
1137;1614795;23390;0;N
844;401281;23450;0;N
844;1613096;23451;0;N
844;1613097;23452;0;N
1023;172614;6951;0;N
1023;172615;6953;0;N
1023;172502;6955;0;N
1023;172501;6957;0;N
914;174170;24081;0;N
800746;1615231;23667;0;N
800746;1615232;23668;0;N
914;174171;24082;0;N
914;178190;24083;0;N
914;178191;24084;0;N
1714;401681;15793;0;N
914;178390;24085;0;N
914;178391;24086;0;N
914;400241;24087;0;N
1095;179230;19747;0;N
1095;179231;19748;0;N
1095;179965;19749;0;N
1095;1611381;19750;0;N
2134;179170;19272;0;N
2134;179171;19273;0;N
2134;179915;19274;0;N
2134;179916;19275;0;N
2134;1612447;19276;0;N
2134;1612446;19277;0;N
1095;1612065;19751;0;N
1095;1612064;19752;0;N
1016;1613546;21106;0;N
1016;1613548;21107;0;N
1095;1612646;19753;0;N
1095;1612647;19754;0;N
1095;1612866;19755;0;N
1095;1612867;19756;0;N
1016;1613547;21108;0;N
1016;1613549;21109;0;N
1016;1613566;21110;0;N
1016;1613567;21111;0;N
800325;1610941;15033;0;N
800325;1610943;15035;0;N
800325;1610981;15037;0;N
914;400243;24088;0;N
914;1611261;24089;0;N
960;176273;19286;0;N
960;176274;19287;0;N
960;1612084;19288;0;N
1094;1613827;23935;0;N
1094;1613826;23936;0;N
800546;1613307;20666;0;N
2235;400761;17342;0;N
2235;400763;17343;0;N
1094;1614950;23937;0;N
2235;1612005;17344;0;N
2235;1612004;17345;0;N
800546;1613306;20667;0;N
2235;1612006;17346;0;N
1094;1614949;23938;0;N
960;1612085;19289;0;N
960;1612486;19290;0;N
960;1612487;19291;0;N
1274;179790;19466;0;N
1274;179793;19467;0;N
1274;179792;19468;0;N
1274;179919;19469;0;N
1274;179794;19470;0;N
1274;179791;19471;0;N
1094;1614948;23939;0;N
1094;1615312;23940;0;N
1094;1615334;23941;0;N
1014;1614812;24005;0;N
1274;1612686;19472;0;N
959;178491;19627;0;N
959;178490;19628;0;N
959;1612806;19629;0;N
959;1612807;19630;0;N
800506;1613006;20106;0;N
800506;1613007;20107;0;N
844;1613747;23453;0;N
844;1613746;23454;0;N
840;401441;20272;0;N
840;401443;20273;0;N
840;1613090;20274;0;N
840;1613091;20275;0;N
845;175430;283;0;N
845;175431;284;0;N
854;172168;285;0;N
979;172459;358;0;N
979;172460;359;0;N
1018;172492;391;0;N
1018;172493;392;0;N
1116;172678;426;0;N
1116;175511;427;0;N
1116;177890;428;0;N
1116;177891;429;0;N
1135;172698;434;0;N
1135;172699;435;0;N
1174;172988;439;0;N
1174;172989;440;0;N
1174;173028;441;0;N
1174;173029;442;0;N
1174;173388;443;0;N
1174;173508;444;0;N
1174;175350;445;0;N
1174;175351;446;0;N
800526;1613267;20630;0;N
800526;1613266;20631;0;N
1014;1614808;24006;0;N
1475;175115;474;0;N
1475;175116;475;0;N
1514;175570;478;0;N
1514;175571;479;0;N
1014;1614806;24007;0;N
934;172388;17523;0;N
934;172389;17524;0;N
1014;1614810;24008;0;N
1014;1614811;24009;0;N
844;1614759;23455;0;N
1014;1614802;24010;0;N
1074;175770;17410;0;N
1074;175771;17411;0;N
1014;1614804;24011;0;N
1074;175773;17412;0;N
1774;172168;513;0;N
1014;1614801;24012;0;N
1014;1614803;24013;0;N
1014;1614850;24014;0;N
1014;1614852;24015;0;N
2154;171348;553;0;N
2154;172712;554;0;N
2154;179174;555;0;N
2154;179175;556;0;N
2154;179190;557;0;N
2154;179191;558;0;N
2155;151608;559;0;N
2155;151609;560;0;N
2155;175830;561;0;N
2155;179176;562;0;N
2155;179177;563;0;N
838;401213;15135;0;N
838;401215;15137;0;N
91;28749;15197;0;N
91;28750;15199;0;N
1014;1614851;24016;0;N
1014;1615410;24017;0;N
914;1611263;24090;0;N
1454;402401;17424;0;N
1454;402405;17425;0;N
1454;402403;17426;0;N
1454;402481;17427;0;N
1454;402483;17428;0;N
914;1612507;24091;0;N
914;1612506;24092;0;N
914;1614986;24093;0;N
914;1614987;24094;0;N
914;1615450;24095;0;N
914;1615451;24096;0;N
895;172350;17439;0;N
895;172351;17440;0;N
895;172583;17441;0;N
895;176692;17442;0;N
895;178433;17443;0;N
836;401207;21906;0;N
836;401205;21907;0;N
836;1613086;21908;0;N
836;1613087;21909;0;N
836;1614066;21910;0;N
836;1614067;21911;0;N
975;178830;22569;0;N
975;1614506;22570;0;N
800365;1611021;22571;0;N
800365;1611025;22572;0;N
800666;1614386;22266;0;N
800666;1614387;22267;0;N
1434;174776;21732;0;N
1434;174777;21733;0;N
1434;1613347;21734;0;N
1434;1613348;21735;0;N
800365;1611023;22573;0;N
1434;1613346;21736;0;N
1434;1613486;21737;0;N
1434;1613526;21738;0;N
1434;1613527;21739;0;N
1434;1613646;21740;0;N
1434;1613647;21741;0;N
1434;1613706;21742;0;N
961;177231;23366;0;N
961;180022;23367;0;N
961;177230;23368;0;N
961;180023;23369;0;N
961;1615006;23370;0;N
961;1615007;23371;0;N
800406;178291;23993;0;N
800406;1613248;23994;0;N
144;173008;23646;0;N
144;173009;23647;0;N
144;401521;23648;0;N
144;1615210;23649;0;N
144;1615211;23650;0;N
1434;1613707;21743;0;N
1434;1613949;21744;0;N
1434;1613948;21745;0;N
800446;1612786;23716;0;N
800446;1614126;23717;0;N
800446;1614146;23718;0;N
800446;1614147;23719;0;N
800446;1614148;23720;0;N
800446;1614706;23721;0;N
800446;1614707;23722;0;N
800446;1615171;23723;0;N
800446;1615170;23724;0;N
800446;1615190;23725;0;N
800446;1615191;23726;0;N
800365;1611029;22574;0;N
800365;1611061;22575;0;N
800365;1611063;22576;0;N
898;179798;22546;0;N
898;179910;22547;0;N
898;179920;22548;0;N
898;1612706;22549;0;N
898;1613627;22550;0;N
898;1613626;22551;0;N
898;1613846;22552;0;N
800365;32715;22577;0;N
800365;32717;22578;0;N
800365;32716;22579;0;N
800365;32718;22580;0;N
98;32715;22581;0;N
98;32716;22582;0;N
98;32717;22583;0;N
98;32718;22584;0;N
1021;172497;22106;0;N
1021;172498;22107;0;N
1021;1614167;22108;0;N
1021;1614166;22109;0;N
875;172592;22398;0;N
875;176650;22399;0;N
837;401209;21326;0;N
875;176651;22400;0;N
875;1614446;22401;0;N
1155;401125;21874;0;N
1155;401127;21875;0;N
1155;1612606;21876;0;N
1155;1612607;21877;0;N
1155;1612868;21878;0;N
1155;1612869;21879;0;N
1155;1613328;21880;0;N
1155;1613329;21881;0;N
1155;1614046;21882;0;N
1155;1614047;21883;0;N
1414;173510;21884;0;N
1414;173511;21885;0;N
837;401211;21327;0;N
837;1613787;21328;0;N
837;1613786;21329;0;N
1054;1613808;21826;0;N
1054;1613807;21827;0;N
1054;1613811;21828;0;N
1054;1613809;21829;0;N
1054;1613812;21830;0;N
1054;1613806;21831;0;N
1054;1613810;21832;0;N
1054;1614006;21833;0;N
1054;1614007;21834;0;N
1414;175170;21886;0;N
1414;1612045;21887;0;N
1414;1612046;21888;0;N
1414;1612907;21889;0;N
1414;1612906;21890;0;N
1414;1613426;21891;0;N
1414;1613427;21892;0;N
1414;1614048;21893;0;N
1414;1614049;21894;0;N
875;1614447;22402;0;N
875;1614466;22403;0;N
875;1614467;22404;0;N
894;172594;22405;0;N
894;176911;22406;0;N
894;179923;22407;0;N
894;179922;22408;0;N
894;176910;22409;0;N
894;1614448;22410;0;N
894;1614449;22411;0;N
894;1614470;22412;0;N
894;1614471;22413;0;N
800366;1613507;22206;0;N
800366;1613506;22207;0;N
800366;1614286;22208;0;N
800366;1614288;22209;0;N
800366;1614289;22210;0;N
800366;1614287;22211;0;N
1115;174390;22226;0;N
1115;177912;22227;0;N
37;401923;22706;0;N
37;401921;22707;0;N
37;401925;22708;0;N
37;401761;22709;0;N
37;401961;22710;0;N
37;1611584;22711;0;N
37;1613986;22712;0;N
37;1614586;22713;0;N
1115;178350;22228;0;N
