GLINE_VERSION_ID;PATH_ID;ORIENTATION;ID
1924;171210;0;1705
1924;171211;0;1706
1924;171348;0;1707
1924;172712;0;1708
106;28747;0;1709
106;28748;0;1710
818;135733;0;1711
818;135734;0;1712
2476;7401;0;1713
2476;7402;0;1714
2476;152870;0;1715
2476;176492;0;1716
2476;176493;0;1717
2476;804969;0;1718
2476;1610025;0;1719
4017;2257;0;1720
4017;2258;0;1721
4017;4782;0;1722
4017;4784;0;1723
4017;174416;0;1724
4017;174417;0;1725
1620;4782;0;1726
1620;4784;0;1727
1620;179410;0;1728
1620;401247;0;1729
1620;1610261;0;1730
1622;4782;0;1731
1622;4784;0;1732
1622;401445;0;1733
1622;1610141;0;1734
1622;1613126;0;1735
1622;1613127;0;1736
1624;172701;0;1737
1624;1610181;0;1738
1626;4782;0;1739
1626;4784;0;1740
1626;4786;0;1741
1626;4789;0;1742
1626;1613098;0;1743
1626;1613099;0;1744
1627;4782;0;1745
1627;4784;0;1746
1627;179190;0;1747
1627;179191;0;1748
1628;4782;0;1749
1628;4784;0;1750
1628;172557;0;1751
1628;172558;0;1752
1656;2266;0;1753
1656;2267;0;1754
2976;169768;0;1755
2976;169769;0;1756
2976;171449;0;1757
1801;7401;0;1758
1801;7402;0;1759
1801;171210;0;1760
1801;171211;0;1761
1801;172794;0;1762
1801;172795;0;1763
4017;174418;0;1764
4017;174419;0;1765
4017;1614867;0;1766
4017;1614866;0;1767
1856;172575;0;1768
1856;172576;0;1769
1856;174872;0;1770
1856;1614209;0;1771
1856;1614210;0;1772
802187;171211;0;1773
802187;171210;0;1774
4017;179963;0;1775
4017;34819;0;1776
1837;42898;0;1777
1837;114861;0;1778
1837;169972;0;1779
1837;172556;0;1780
802187;1614913;0;1781
802187;1614912;0;1782
1843;10935;0;1783
1843;10936;0;1784
1843;137464;0;1785
1843;141806;0;1786
1843;151990;0;1787
1843;171088;0;1788
1843;171089;0;1789
1843;171090;0;1790
1843;171648;0;1791
1843;173548;0;1792
1843;173608;0;1793
1843;175210;0;1794
1843;176030;0;1795
1843;176990;0;1796
1843;1611704;0;1797
1845;4786;0;1798
1845;4789;0;1799
1845;42898;0;1800
1845;114861;0;1801
1845;175210;0;1802
1845;176990;0;1803
1847;7401;0;1804
1847;7402;0;1805
1847;171089;0;1806
1847;171090;0;1807
1851;4786;0;1808
1851;21119;0;1809
1851;42898;0;1810
1851;114861;0;1811
1851;176810;0;1812
1851;177850;0;1813
1852;7401;0;1814
1852;7402;0;1815
1852;172869;0;1816
1852;175950;0;1817
2257;2257;0;1818
1855;4782;0;1819
1855;172575;0;1820
1855;172576;0;1821
1855;174872;0;1822
1855;174873;0;1823
1855;176332;0;1824
1855;176333;0;1825
1879;34819;0;1826
1879;141806;0;1827
1879;171088;0;1828
1879;172608;0;1829
1879;172609;0;1830
1879;176010;0;1831
1879;176011;0;1832
1879;179963;0;1833
1879;1612626;0;1834
1879;1612627;0;1835
2257;2258;0;1836
2976;174212;0;1837
2976;174213;0;1838
2976;176550;0;1839
2976;1610821;0;1840
2976;1610823;0;1841
2976;1613190;0;1842
2976;1614766;0;1843
2257;4782;0;1844
2257;4784;0;1845
1918;156551;0;1846
1918;156552;0;1847
1918;169972;0;1848
1918;172556;0;1849
1918;172794;0;1850
1918;172795;0;1851
1918;179050;0;1852
1918;179051;0;1853
1918;1612808;0;1854
1918;1612809;0;1855
2257;34819;0;1856
2257;179921;0;1857
2257;179963;0;1858
2257;179974;0;1859
2257;1614910;0;1860
2257;1614911;0;1861
2257;1612809;0;1862
1799;2257;0;1863
1799;2258;0;1864
