PATH_SEG_VERSION_ID;TRACK_ID;SETR_ORDER
1614343;12963;12
1614343;14776;0
1614343;15622;1
1614343;15623;2
1614343;15624;3
1614343;15625;4
1614343;15626;5
1614343;15627;6
1614343;15628;7
1614343;15629;8
1614343;15630;9
1614343;15631;10
1614343;17403;13
1614343;17404;14
1614343;17718;15
1614343;19514;11
1614345;11675;2
1614345;12859;0
1614345;14775;13
1614345;15612;3
1614345;15613;4
1614345;15614;5
1614345;15615;6
1614345;15616;7
1614345;15617;8
1614345;15618;9
1614345;15619;10
1614345;15620;12
1614345;15621;11
1614345;19513;1
1614409;16614;3
1614409;16615;4
1614409;18170;0
1614409;18171;1
1614409;18172;2
1614411;16616;0
1614411;16617;1
1614411;18195;2
1614411;18196;3
1614427;20779;0
1614427;20780;1
1614433;20779;0
1614433;20780;1
1614435;16772;0
1614435;16773;1
1614435;16774;2
1614435;16775;3
1614435;16776;4
1614435;16777;5
1614435;16778;6
1614463;16780;1
1614463;16781;2
1614463;16782;3
1614463;16783;4
1614463;16784;5
1614463;16785;6
1614463;16786;7
1614463;20617;0
1614465;16611;0
1614465;16612;1
1614467;16780;1
1614467;16781;2
1614467;16782;3
1614467;16783;4
1614467;16784;5
1614467;16785;6
1614467;16786;7
1614467;20617;0
1614521;11006;0
1614521;11203;7
1614521;11204;8
1614521;14847;1
1614521;14848;2
1614521;14849;3
1614521;14850;4
1614521;14851;5
1614521;14852;6
1614521;14854;9
1614523;11185;0
1614523;14634;6
1614523;14855;1
1614523;14856;2
1614523;14857;3
1614523;14858;4
1614523;14861;7
1614523;17367;5
1614525;14635;0
1614525;14637;3
1614525;14867;4
1614525;20503;1
1614525;20504;2
1614527;14868;0
1614527;18185;2
1614527;18186;1
1614529;11006;0
1614529;11203;7
1614529;11204;8
1614529;14847;1
1614529;14848;2
1614529;14849;3
1614529;14850;4
1614529;14851;5
1614529;14852;6
1614529;14854;9
1614531;11185;0
1614531;14634;6
1614531;14855;1
1614531;14856;2
1614531;14857;3
1614531;14858;4
1614531;14861;7
1614531;17367;5
1614533;14635;0
1614533;14637;3
1614533;14867;4
1614533;20503;1
1614533;20504;2
1614569;12035;3
1614569;12816;5
1614569;12817;6
1614569;12818;7
1614569;12819;8
1614569;12820;9
1614569;13924;4
1614569;15470;0
1614569;15471;1
1614569;15472;2
1614571;12821;0
1614571;12822;8
1614571;14964;1
1614571;14968;5
1614571;14969;6
1614571;14970;7
1614571;15142;2
1614571;15143;3
1614571;15144;4
1614647;11006;0
1614647;11203;7
1614647;11204;8
1614647;14847;1
1614647;14848;2
1614647;14849;3
1614647;14850;4
1614647;14851;5
1614647;14852;6
1614647;14854;9
1614649;11197;1
1614649;11799;3
1614649;14820;0
1614649;14821;2
1614649;14825;5
1614649;14826;6
1614649;20975;4
1614651;12822;5
1614651;14968;2
1614651;14969;3
1614651;14970;4
1614651;15143;0
1614651;15144;1
1614653;10970;0
1614653;13356;1
1614653;13357;2
1614653;13358;3
1614653;13359;4
1614653;14972;5
1614653;14973;6
1614653;15146;7
1614653;15147;8
1614653;21168;9
1614655;13281;5
1614655;13282;6
1614655;13283;7
1614655;14948;2
1614655;14949;3
1614655;14950;4
1614655;15135;1
1614655;18929;8
1614655;21167;0
1614657;14954;3
1614657;14955;4
1614657;14956;5
1614657;15138;1
1614657;15139;2
1614657;18924;0
1614659;11198;6
1614659;14712;2
1614659;14713;3
1614659;14817;5
1614659;14818;7
1614659;14892;0
1614659;14893;1
1614659;20974;4
1614661;14753;3
1614661;14940;0
1614661;14941;1
1614661;14942;2
1614661;14945;4
1614661;19743;5
1614877;13375;2
1614877;14988;0
1614877;17991;1
1614879;11238;6
1614879;13299;3
1614879;13300;4
1614879;13301;5
1614879;14991;0
1614879;21355;1
1614879;21356;2
1614881;10900;3
1614881;12042;2
1614881;14088;4
1614881;14895;5
1614881;14896;6
1614881;14897;7
1614881;14898;8
1614881;15134;0
1614881;20710;1
1614883;10988;1
1614883;10989;2
1614883;14899;0
1614883;14900;3
1614883;17808;4
1614883;17809;5
1614883;19455;6
1615089;11238;6
1615089;13299;3
1615089;13300;4
1615089;13301;5
1615089;21355;1
1615089;21356;2
1615089;21436;0
1615091;13281;5
1615091;13282;6
1615091;13283;7
1615091;14948;2
1615091;14949;3
1615091;14950;4
1615091;15134;0
1615091;15135;1
1615091;18929;8
1615093;12823;3
1615093;15127;2
1615093;15131;1
1615093;18185;5
1615093;18186;4
1615093;18930;0
1615093;21604;6
1615095;17426;1
1615095;17427;2
1615095;17948;3
1615095;20575;0
1615095;21437;4
1615145;13165;0
1615145;13166;1
1615145;13167;2
1615145;17965;3
1615147;13169;1
1615147;14276;0
1615147;18013;2
1615149;11049;4
1615149;12829;1
1615149;12830;2
1615149;12831;3
1615149;18011;0
1615311;15334;1
1615311;19590;0
1615311;20241;2
1615311;20242;3
1615313;13652;5
1615313;20263;2
1615313;20264;3
1615313;20265;4
1615313;21383;0
1615313;21384;1
1615315;11859;1
1615315;13237;7
1615315;13238;8
1615315;13239;9
1615315;13240;10
1615315;13241;11
1615315;14053;2
1615315;14526;3
1615315;14527;4
1615315;15485;6
1615315;17153;13
1615315;17154;14
1615315;17914;0
1615315;17962;17
1615315;18937;5
1615315;19118;12
1615315;20104;15
1615315;20105;16
1615317;14033;0
1615317;14034;1
1615317;18129;2
1615317;18130;3
1615913;14993;2
1615913;15326;1
1615913;19509;0
1615915;14994;0
1615915;14995;1
1615915;14996;2
1615915;14997;3
1615915;18917;4
1615921;14993;2
1615921;15326;1
1615921;19509;0
1615923;14994;0
1615923;14995;1
1615923;14996;2
1615923;14997;3
1615923;18917;4
1615925;14954;3
1615925;14955;4
1615925;14956;5
1615925;15138;1
1615925;15139;2
1615925;18924;0
1615927;11205;5
1615927;11206;6
1615927;14957;0
1615927;14958;1
1615927;15151;2
1615927;15152;3
1615927;15153;4
1615927;15154;7
1615929;10978;8
1615929;13059;2
1615929;13060;3
1615929;13061;4
1615929;13584;6
1615929;13585;7
1615929;15298;5
1615929;17046;0
1615929;17245;1
1615957;10979;0
1615957;13062;5
1615957;13643;1
1615957;13644;2
1615957;13645;3
1615957;15156;8
1615957;15334;4
1615957;17044;6
1615957;17045;7
1615959;11207;1
1615959;11208;2
1615959;14964;6
1615959;15142;7
1615959;15157;0
1615959;15158;3
1615959;15159;4
1615959;15160;5
1615961;12822;5
1615961;14968;2
1615961;14969;3
1615961;14970;4
1615961;15143;0
1615961;15144;1
1615963;14976;1
1615963;14977;2
1615963;14978;3
1615963;14979;4
1615963;19345;0
1615965;14980;0
1615965;16257;1
1616125;14925;6
1616125;15293;1
1616125;15329;0
1616125;18382;2
1616125;19145;3
1616125;21049;4
1616125;21051;5
1616127;14628;1
1616127;14630;4
1616127;14926;0
1616127;20501;2
1616127;20502;3
1616129;14631;1
1616129;14931;0
1616129;14934;3
1616129;14935;4
1616129;14936;5
1616129;14937;6
1616129;14938;7
1616129;14939;8
1616129;17366;2
1616131;14753;3
1616131;14940;0
1616131;14941;1
1616131;14942;2
1616131;14945;4
1616131;19743;5
1616619;15138;2
1616619;15139;3
1616619;17141;4
1616619;17142;5
1616619;17143;6
1616619;18924;1
1616619;20236;0
1616621;12034;7
1616621;13991;4
1616621;13992;5
1616621;13993;6
1616621;15468;8
1616621;16820;0
1616621;17144;1
1616621;17145;2
1616621;17146;3
1616623;12137;2
1616623;12368;6
1616623;15474;1
1616623;17147;0
1616623;20489;7
1616623;20490;8
1616623;21118;3
1616623;21119;4
1616623;21120;5
1616625;14008;3
1616625;19463;0
1616625;19464;1
1616625;19465;2
1616627;11160;10
1616627;13918;5
1616627;13919;6
1616627;13920;7
1616627;13921;8
1616627;13922;9
1616627;14009;0
1616627;16878;11
1616627;16879;12
1616627;16880;13
1616627;17200;1
1616627;17201;2
1616627;17202;3
1616627;17203;4
1616629;11163;3
1616629;13925;4
1616629;13926;5
1616629;13927;6
1616629;13928;7
1616629;16096;8
1616629;16881;0
1616629;16882;1
1616629;16883;2
1616629;17205;10
1616629;17206;11
1616629;17207;12
1616629;19072;9
1616631;13930;0
1616631;13931;1
1616631;19466;2
1616631;19467;3
1616631;19468;4
1616633;12138;6
1616633;12330;2
1616633;17150;3
1616633;19469;0
1616633;19470;1
1616633;20422;7
1616633;21121;4
1616633;21122;5
1616635;13944;3
1616635;13945;4
1616635;13946;5
1616635;15472;1
1616635;16827;9
1616635;17151;2
1616635;17152;6
1616635;17153;7
1616635;17154;8
1616635;20423;0
1616637;12822;5
1616637;13314;6
1616637;14968;2
1616637;14969;3
1616637;14970;4
1616637;15144;1
1616637;16828;0
1616637;18181;7
1616637;20698;8
1616645;14570;4
1616645;14630;6
1616645;15138;2
1616645;18137;3
1616645;18138;5
1616645;18924;1
1616645;20236;0
1616647;12837;4
1616647;14265;9
1616647;14610;10
1616647;14631;1
1616647;14931;0
1616647;15233;11
1616647;15234;12
1616647;15279;5
1616647;17392;6
1616647;21340;7
1616647;21341;8
1616647;21459;2
1616647;21460;3
1616649;11859;7
1616649;11911;4
1616649;11912;5
1616649;11913;6
1616649;14053;8
1616649;14526;9
1616649;14527;10
1616649;15152;3
1616649;18688;0
1616649;21348;1
1616649;21349;2
1616651;14731;1
1616651;14732;2
1616651;15522;0
1616653;12644;1
1616653;14063;0
1616653;18549;2
1616653;18551;3
1616655;11860;2
1616655;11862;9
1616655;11917;5
1616655;14059;1
1616655;14529;0
1616655;15159;6
1616655;21223;3
1616655;21224;4
1616655;21346;7
1616655;21347;8
1616657;11865;9
1616657;12845;7
1616657;12846;8
1616657;14611;2
1616657;14612;3
1616657;14634;11
1616657;14651;10
1616657;14861;12
1616657;15235;0
1616657;15236;1
1616657;17246;4
1616657;17247;5
1616657;17391;6
1616659;12822;5
1616659;13314;6
1616659;14163;4
1616659;14635;0
1616659;18140;3
1616659;18181;7
1616659;20503;1
1616659;20698;8
1616659;20723;2
1616683;12356;9
1616683;12387;6
1616683;12388;7
1616683;12389;8
1616683;12478;0
1616683;13106;2
1616683;13107;3
1616683;13108;4
1616683;13109;5
1616683;17970;1
1616685;10995;2
1616685;10996;3
1616685;12357;0
1616685;12358;1
1616685;12360;4
1616685;12361;5
1616685;12362;6
1616687;12363;0
1616687;12364;1
1616687;12365;2
1616687;12366;3
1616687;21233;4
1616687;21234;5
1616689;12600;7
1616689;12603;11
1616689;14222;2
1616689;14223;3
1616689;17254;5
1616689;17255;6
1616689;17256;10
1616689;17478;1
