ID;SEG_ID;PATH_VERSION_ID;LENGTH;PTSG_ORDER
1621891;400969;1613090;1500;3
1621892;7451;1613090;4680;4
1621893;7452;1613091;4400;1
1621894;7850;1613091;1520;2
1621895;5162;1613091;2140;3
1621896;7392;1613091;1390;4
1621897;7323;1613092;1210;1
1621898;400921;1613092;3750;2
1621899;400925;1613092;2430;3
1621900;400947;1613093;2220;1
1621901;8010;1613093;3960;2
402549;8145;401401;1580;1
402551;8146;401401;2990;2
402553;8147;401401;3330;3
402555;11565;401401;1460;4
402557;11566;401401;1040;5
402559;8150;401401;1470;6
402561;8151;401401;2560;7
402563;12445;401401;800;8
1621902;7392;1613093;1390;3
1621905;7373;1613096;3180;1
1621906;400805;1613096;3410;2
1621907;400807;1613097;2930;1
1621908;806035;1613097;3390;2
2142;13252;179959;2280;1
2143;9827;179959;1860;2
2144;8089;179959;2490;3
2145;11765;179959;3470;4
2150;11766;179960;3800;1
2151;8090;179960;2290;2
2152;9828;179960;2070;3
2153;13253;179960;2660;4
2173;13252;179961;2280;1
2174;9827;179961;1860;2
2175;8089;179961;2490;3
2176;11765;179961;3470;4
2177;11767;179961;3560;5
1618845;12345;178370;5000;1
1621161;805694;1612466;9500;1
1621162;805695;1612467;9500;1
1621163;805696;1612468;7500;1
1621164;805697;1612469;7500;1
1621381;10767;1612646;2100;1
1621382;8376;1612646;2510;2
1621383;8378;1612646;900;3
1618883;12765;179170;10000;1
1618885;12766;179171;10000;1
1621384;8379;1612647;730;1
1621385;7376;1612647;3270;2
1620120;8036;1612085;2960;1
1620121;4;1612085;3010;2
1620122;2309;1612085;680;3
1620123;805433;1612085;2170;4
1621386;10768;1612647;2580;3
1621661;806075;1612906;2000;1
1621662;8015;1612906;1330;2
1621663;8017;1612906;930;3
1618919;1578;1611061;4650;1
1618921;1580;1611061;4680;2
1618923;1592;1611061;8290;3
1618925;1578;1611021;4650;1
1618927;1580;1611021;4680;2
1618929;1581;1611021;6470;3
1618937;1583;1611023;6080;1
1618939;1585;1611023;4400;2
1618941;1586;1611023;4560;3
1621664;8019;1612906;1490;4
1621669;8020;1612907;1530;1
1621670;8018;1612907;1190;2
1621671;8016;1612907;1560;3
1621672;806074;1612907;2000;4
1618961;8533;178490;930;1
1618963;8023;178490;1930;2
1618965;8025;178490;1110;3
1618967;8027;178490;2610;4
1618969;2680;178491;3140;1
1618971;8026;178491;1240;2
1618973;4286;178491;2070;3
1618975;13257;178491;790;4
1621911;806236;1613100;10000;1
1619035;11245;176650;950;1
1619037;7847;176650;2260;2
1619039;7849;176650;1500;3
1619041;7851;176650;3720;4
1619043;7853;176650;3390;5
1619045;7854;176651;2710;1
1619047;7852;176651;3570;2
1619049;7850;176651;1520;3
1619051;7848;176651;2140;4
1619053;11246;176651;840;5
1619055;1578;32715;4650;1
1619057;1580;32715;4680;2
1619059;1592;32715;8290;3
1619061;1578;32717;4650;1
1619063;1580;32717;4680;2
1619065;1581;32717;6470;3
1619067;1594;32716;8300;1
1619069;1585;32716;4400;2
1619071;1586;32716;4560;3
1619073;1583;32718;6080;1
1619075;1585;32718;4400;2
1619077;1586;32718;4560;3
1614635;13298;180022;2000;1
1614637;11625;180022;2480;2
1614639;7931;180022;2620;3
1614641;11428;180023;2350;1
1614643;11626;180023;2470;2
1614645;13299;180023;2000;3
1614647;11428;177231;2350;1
1614649;11626;177231;2470;2
1614651;7996;177231;2540;3
1614653;7994;177231;2470;4
1614655;7993;177230;3310;1
1614657;7995;177230;2070;2
1614659;11625;177230;2480;3
1614661;11427;177230;2620;4
1619091;2523;173508;50;1
