ID;NAME;ACTIVE;COLOR
800387;48;Y;0
800446;809;Y;0
2235;208;Y;0
800386;89;Y;0
1274;302;Y;0
1354;500;Y;0
1335;600;Y;0
1414;400;Y;0
1454;705;Y;0
1594;207;Y;0
800406;67;Y;0
800426;68;Y;0
1714;22;Y;0
800467;709;Y;0
1475;106;Y;0
800506;42;Y;0
800546;100;Y;0
1374;300;Y;0
2134;35;Y;0
2154;37;Y;0
2155;36;Y;0
2174;79;Y;0
1434;601;Y;0
1514;707;Y;0
800325;209;Y;0
1774;94M;Y;0
2214;907;Y;0
1634;69;Y;0
20;103;Y;0
834;1M;Y;0
37;104;Y;0
875;800;Y;0
144;18;Y;0
91;61;Y;0
98;V94;Y;0
634;66;Y;0
836;3M;Y;0
837;4M;Y;0
838;5M;Y;0
840;7M;Y;0
841;8M;Y;0
842;9M;Y;0
843;10M;Y;0
844;11M;Y;0
845;12M;Y;0
846;13M;Y;0
854;95M;Y;0
894;801;Y;0
895;701;Y;0
896;702;Y;0
898;303;Y;0
914;200;Y;0
915;703;Y;0
934;402;Y;0
954;202;Y;0
974;502;Y;0
956;304;Y;0
957;305;Y;0
959;401;Y;0
960;201;Y;0
961;203;Y;0
975;506;Y;0
976;507;Y;0
979;706;Y;0
1014;205;Y;0
1015;501;Y;0
1016;508;Y;0
1017;803;Y;0
1018;804;Y;0
1019;204;Y;0
1020;505;Y;0
1021;806;Y;0
1022;901;Y;0
1023;902;Y;0
1024;903;Y;0
1054;602;Y;0
1055;704;Y;0
1074;805;Y;0
1094;301;Y;0
1095;904;Y;0
1115;603;Y;0
1116;206;Y;0
1134;503;Y;0
1135;504;Y;0
1136;604;Y;0
1137;900;Y;0
1154;906;Y;0
1155;905;Y;0
1174;1;Y;0
1214;99;Y;0
2237;88;Y;0
800365;700;Y;0
800526;47;Y;0
800366;107;Y;0
800606;403;Y;0
800666;404;Y;0
800566;105;Y;0
800646;605;Y;0
800586;39;Y;0
800806;150;Y;0
800746;910;Y;0
800807;151;Y;0
800826;49;Y;0
800786;Ordens;Y;0
800726;108;Y;0
800766;920;Y;0
800686;38;Y;0
