ID;NAME;EMPTY;TYPE_VALUE;OLD_TYPE_VALUE
1613788;Ponte de Pedra_UOF;N;1;0
1614049;400_P.Nascente_S.Lazaro;N;0;0
1614068;Padrao da Legua_UOF;N;1;0
1614147;809_Infante_Serralves;N;0;0
1614148;809_Serralves_Infante;N;0;0
1614166;806_Marques_Cabanas;N;0;0
1614167;806_Cabanas_Marques;N;0;0
1614168;UON_Cabanas;N;1;0
1614169;Cabanas_UON;N;1;0
1614228;507_Rotunda AEP_Marshopping;N;0;0
1614229;507_Cordoaria_Marshopping;N;0;0
1614230;507_Marshopping_Cordoaria;N;0;0
1614086;UOF_Ponte da Pedra;N;1;0
1614087;907_Sto Ovidio_Vila D'Este;N;0;0
1613328;905__Aliados_M.Virgem;N;0;0
1613329;905__M.Virgem_Aliados;N;0;0
1613346;601_Cordoaria_Aeroporto;N;0;0
1613347;601_Aeroporto_Cordoaria;N;0;0
1613348;601_Boavista_Aeroporto;N;0;0
1613349;507_Cordoaria_Leca;N;0;0
1613350;507_Leca_Cordoaria;N;0;0
1613351;507_Rotunda AEP_Leca;N;0;0
1613746;11M_H.S.Joao_Aliados;N;0;0
1613747;11M_Aliados_H.S.Joao;N;0;0
1613368;Freixieiro_UOF;N;1;0
1613386;UON_P.Nascente;N;1;0
1613387;P.Nascente_UON;N;1;0
1613526;601_Rotunda AEP_Aeroporto;N;0;0
1613426;400_Aliados_P.Nascente;N;0;0
1613427;400_P.Nascente_Aliados;N;0;0
1613486;601_Aeroporto_Boavista;N;0;0
1613527;601_Aeroporto_Rotunda AEP;N;0;0
1613546;508_Bom Sucesso_Cabo do Mundo;N;0;0
1613547;508_Cabo do Mundo_Bom Sucesso;N;0;0
1613548;508_Bom Sucesso_Freixieiro;N;0;0
1613549;508_Freixieiro_Bom Sucesso;N;0;0
1613806;602_Monte dos Burgos_Aeroporto;N;0;0
1613807;602_Cordoaria_Aeroporto;N;0;0
1613808;602_Aeroporto_Cordoaria;N;0;0
1613809;602_Cordoaria_Ponte de Moreira;N;0;0
1613810;602_Ponte de Moreira_Cordoaria;N;0;0
1613811;602_Cordoaria_Guardeiras;N;0;0
1613812;602_Guardeiras_Cordoaria;N;0;0
1613826;301_H.S.Joao_H.S.Joao;N;0;0
1613827;301_H.S.Joao_Carvalhido;N;0;0
1613846;303_Campo 24 Agosto_S.Bento;N;0;0
1613866;S.Bento_UOF;N;1;0
1614126;809_Maia Forum_Maia Forum;N;0;0
1614146;809/_Maia Forum_Maia Forum;N;0;0
1614128;Maia Forum_UOF;N;1;0
1614186;803_Hospital de S.Joao_Rio Tinto;N;0;0
1614187;803_Bom Sucesso_Rio Tinto;N;0;0
1614188;803_Rio Tinto_Bom Sucesso;N;0;0
1615070;907_Bom Sucesso_Coimboes;N;0;0
1614873;903_Casa da Musica_Vilar do Paraiso;N;0;0
1614874;903_Vilar do Paraiso_Casa da Musica;N;0;0
1614209;UOF_Vilar do Paraiso;N;1;0
1614210;Vilar do Paraiso_UOF;N;1;0
