ID;NAME;START_STOP;END_STOP;VISIBLE;LENGTH
11472;SCT4_MEIR;15597;14821;Y;330
11474;VINH2_TAR6;16043;15817;Y;200
11475;TAR6_VL2;15817;16051;Y;330
11476;VL1_TAR5;16050;15816;Y;380
11477;TAR5_VINH1;15816;16042;Y;210
11482;ENX1_ARS8;14070;13161;Y;550
11484;TPT1_TMEI1;15904;15879;Y;180
11485;TMEI1_AAS1;15879;12885;Y;420
11486;LGCP2_TMPR2;16331;15881;Y;190
11492;TMPR1_LGCP1;15880;16330;Y;190
11496;SCT6_MEIR;15599;14821;Y;360
11515;STBX2_SCT2;15765;15595;Y;370
11516;SCT2_MEIR;15595;14821;Y;360
11522;ACN1_CONS2;12925;13694;Y;320
11523;CONS2_HSM;13694;14273;Y;330
10828;GB3_GB2;14112;14111;Y;150
10830;ESED1_HSJ3;16976;14265;Y;450
10867;FG1_HSM;17055;14273;Y;400
10883;BCM3_GRC1;13262;14185;Y;430
10890;HSM1_CONS1;14274;13693;Y;500
10893;OUTE4_SAL2;17321;15532;Y;350
10895;CVLO_CPL2;13910;13735;Y;300
10896;CPL2_VFM2;13735;16021;Y;290
10898;CPL_VFM6;13733;16023;Y;260
10899;LAPA1_HSM3;16282;14275;Y;420
10900;VFM1_CPL1;16020;13734;Y;260
10901;CPL1_LGCL1;13734;16328;Y;300
10902;LGCL1_UFP1;16328;15966;Y;320
10903;UFP1_IPRN1;15966;14335;Y;400
10904;TRH2_MATR;15916;14788;Y;320
10906;CDF2_FACD;13535;17015;Y;310
10915;LFC_FMAI;16320;17089;Y;260
10936;COB4_AGOM1;13680;12980;Y;230
10937;AGOM1_RMT1;12980;15452;Y;330
10946;CORD7_SDB1;13709;15600;Y;530
10970;BVCM3_BVCT1;13448;13449;Y;260
10978;SP1_MATM1;15685;14783;Y;370
10979;MATM1_SP2;14783;15686;Y;570
10980;LGO4_RCRT2;16346;15343;Y;450
10981;RCRT2_LNEV2;15343;16377;Y;410
10982;LNEV2_NEVG;16377;17270;Y;310
10984;LNEV1_RCRT1;16376;15342;Y;440
13676;LUCM2_LAGE2;14723;16278;Y;410
13677;LVR2_CBN2;14732;13517;Y;250
13685;FLO2_GUFE2;17066;14208;Y;240
13686;GUFE2_ARCO2;14208;13125;Y;180
13687;ARCO2_MTA2;13125;14949;Y;410
13691;AGR2_PMAI2;12983;15015;Y;210
13692;PMAI2_RGLO2;15015;15409;Y;450
13693;RGLO2_TRM2;15409;15920;Y;310
13694;TRM2_PRD2;15920;15087;Y;200
13695;PRD2_RGLE2;15087;15407;Y;680
13696;RGLE2_GGC2;15407;14142;Y;210
13697;GGC2_FMGO2;14142;17098;Y;220
13698;FMGO2_SRG2;17098;15711;Y;200
13699;SRG2_DCPF2;15711;13949;Y;560
13700;DCPF2_5OUT2;13949;12855;Y;240
13703;SGMC2_GLV2;15625;14158;Y;410
13704;GLV2_PIV2;14158;14981;Y;300
13705;PIV2_TNG2;14981;15887;Y;300
13708;JFPD2_MMAI1;14384;14860;Y;350
13709;MMAI1_ARS7;14860;13160;Y;250
13713;FTNH2_JN3;17201;16740;Y;380
13721;ARCO1_GUFE1;13124;14207;Y;220
13722;GUFE1_FLO1;14207;17065;Y;270
13726;PND1_MFP2;15043;14833;Y;230
13730;CBN1_LVR1;13516;14731;Y;210
13734;LAGE3_LUCM1;16279;14722;Y;360
13735;LUCM1_SBO1;14722;15553;Y;290
13745;AZ_BLG2;13230;13326;Y;260
13746;BLG2_TLHR2;13326;15874;Y;240
13750;VFM6_CNTT2;16023;13674;Y;230
13751;CNTT2_HSM4;13674;14276;Y;440
13752;HSM4_LAPA2;14276;16283;Y;360
13753;LAPA2_PRR5;16283;15149;Y;260
13758;PRR3_LAPA1;15148;16282;Y;220
13762;CAM1_TLHR1;13490;15873;Y;320
13763;TLHR1_BLG1;15873;13325;Y;210
13764;BLG1_AML1;13325;13077;Y;260
13770;BZ1_RTE3;13464;15512;Y;340
13771;RTE3_DPA1;15512;13985;Y;240
13772;DPA1_MED1;13985;14817;Y;340
13773;MED1_CN1;14817;13650;Y;340
13774;CN1_PIT1;13650;14978;Y;300
13775;PIT1_FARM1;14978;17024;Y;270
13776;FARM1_STG1;17024;15777;Y;220
13777;STG1_JPR1;15777;16750;Y;250
13778;JPR2_STG2;16751;15778;Y;290
13779;STG2_FARM2;15778;17025;Y;210
13780;FARM2_PIT2;17025;14979;Y;310
13781;PIT2_CN2;14979;13651;Y;300
13782;CN2_MED2;13651;14818;Y;380
13783;MED2_DPA2;14818;13986;Y;180
13784;DPA2_RTE4;13986;15513;Y;320
13785;RTE4_BZ2;15513;13465;Y;320
13786;BZ2_SST2;13465;15753;Y;320
13787;SST2_CTN2;15753;13870;Y;320
13788;CTN2_ENV2;13870;14069;Y;240
13792;JN4_FTNH1;16741;17200;Y;550
13793;DCAS1_MPL2;13946;14903;Y;200
13794;MPL2_PSOC1;14903;15170;Y;320
13796;ARS5_ENX3;13158;14072;Y;400
13797;ENX3_JFPD1;14072;14383;Y;460
13800;TNG1_PIV1;15886;14980;Y;290
13801;PIV1_GLV1;14980;14157;Y;310
13802;GLV1_SGMC1;14157;15624;Y;330
13805;5OUT1_DCPF1;12854;13948;Y;220
13806;DCPF1_SRG1;13948;15710;Y;520
13807;SRG1_FMGO1;15710;17097;Y;250
13808;FMGO1_GGC1;17097;14141;Y;180
13809;GGC1_RGLE1;14141;15406;Y;240
13810;RGLE1_PRD1;15406;15086;Y;590
13811;PRD1_TRM1;15086;15919;Y;280
13812;TRM1_RGLO1;15919;15408;Y;320
13813;RGLO1_PMAI1;15408;15014;Y;440
13814;PMAI1_AGR1;15014;12982;Y;250
13819;ALXH1_COD;13067;13683;Y;450
13820;COD_ALXH2;13683;13068;Y;400
13839;GRC1_CVI4;14185;13906;Y;380
13840;CVI4_BRCV;13906;13364;Y;540
13841;BRCV_MSTO1;13364;14944;Y;280
13842;MSTO1_RPM1;14944;15478;Y;340
13843;RPM1_ADA1;15478;12940;Y;250
13844;ADA1_CI31;12940;13588;Y;320
13845;CI31_CAM1;13588;13490;Y;200
13851;ENX1_ARSM1;14070;13166;Y;670
13852;ARSM2_ARS5;13167;13158;Y;280
13856;TLHR2_CAM3;15874;13492;Y;200
13857;CAM3_CI32;13492;13589;Y;220
13858;CI32_ADA2;13589;12941;Y;310
13859;ADA2_RPM2;12941;15479;Y;230
13860;RPM2_MSTO2;15479;14945;Y;350
13861;MSTO2_BVLH2;14945;13457;Y;320
13862;BVLH2_NAT1;13457;17253;Y;340
13865;ENV_CTN1;14068;13869;Y;270
13866;CTN1_SST1;13869;15752;Y;270
13867;SST1_BZ1;15752;13464;Y;310
13868;SBR2_CGK2;15563;13566;Y;160
13869;CGK2_CNSL2;13566;13665;Y;250
13870;CNSL2_AM2;13665;13071;Y;310
13871;AM2_PCUA2;13071;17415;Y;440
13872;PCUA2_CORI2;17415;13712;Y;190
13873;CORI2_CCOR;13712;13529;Y;200
13874;CCOR_CORM2;13529;13714;Y;210
13875;CORM2_BRO2;13714;13377;Y;300
13876;BRO2_SGM;13377;15623;Y;150
13877;SGM_FRN2;15623;17145;Y;240
13878;FRN2_CRPO2;17145;13781;Y;300
13879;CRPO2_GIT2;13781;14149;Y;200
13880;GIT2_TRI2;14149;15918;Y;270
13881;TRI2_AFEI2;15918;12963;Y;270
13882;AFEI2_ARSM2;12963;13167;Y;440
13886;AM1_JLD2;13070;16719;Y;220
13889;MRT1_GAN1;14927;17225;Y;390
13890;GAN1_CML1;17225;13623;Y;170
13891;CML1_MSHP3;13623;14938;Y;240
13892;MSHP3_RGFT1;14938;15404;Y;360
13895;RGFT2_MSHP4;15405;14939;Y;290
13896;MSHP4_CML2;14939;13624;Y;250
13897;CML2_GAN2;13624;17226;Y;250
13898;GAN2_MRT2;17226;14928;Y;380
13903;AA1_ARS2;12861;13155;Y;160
13904;ARS2_ARSM1;13155;13166;Y;300
13918;RGDU_RBO1;15402;15300;Y;190
13919;RBO1_ABL1;15300;12892;Y;180
13920;ABL1_LMB1;12892;16365;Y;180
13921;LMB1_PCRR1;16365;17401;Y;170
13922;PCRR1_LMBG1;17401;16367;Y;210
13924;CDCV3_EZC2;13533;17012;Y;250
13925;LMBG2_PCRR2;16368;17402;Y;200
13926;PCRR2_LMB2;17402;16366;Y;170
13927;LMB2_ABL2;16366;12893;Y;170
13928;ABL2_RBO2;12893;15301;Y;200
13930;GUIF2_PSSM2;14212;15176;Y;280
13931;PSSM2_TPM2;15176;15902;Y;150
13944;CDCV2_MPAZ2;13532;14895;Y;290
13945;MPAZ2_MPAZ1;14895;14894;Y;210
13946;MPAZ1_EFRD1;14894;14048;Y;280
13949;ARSM1_AFEI1;13166;12962;Y;320
13950;AFEI1_TRI1;12962;15917;Y;360
13951;TRI1_GIT1;15917;14148;Y;260
13952;GIT1_CRPO1;14148;13780;Y;200
13953;CRPO1_FRN1;13780;17144;Y;240
13954;FRN1_BRO1;17144;13376;Y;340
13955;BRO1_CORM1;13376;13713;Y;420
13956;CORM1_CORI1;13713;13711;Y;270
13957;CORI1_PCUA1;13711;17414;Y;350
13958;PCUA1_AM1;17414;13070;Y;260
13959;AM1_JLD1;13070;16718;Y;260
13960;JLD1_CNSL1;16718;13664;Y;190
13961;CNSL1_CGK1;13664;13565;Y;240
13962;CGK1_SBR1;13565;15562;Y;180
13963;SBR1_PTCR1;15562;15181;Y;320
13964;PTCR1_CRZ1;15181;13812;Y;460
13966;ERM1_ERM2;14087;14088;Y;270
13968;CRZ2_PTCR2;13813;15182;Y;470
13969;PTCR2_SBR2;15182;15563;Y;330
13972;GNR1_SMJT1;14166;15660;Y;340
13983;TRBG1_DISP1;15905;13965;Y;390
13986;DISP2_TRBG2;13966;15906;Y;300
13991;EFRD2_MPAZ3;14049;14896;Y;330
13992;MPAZ3_MPAZ4;14896;14897;Y;200
13993;MPAZ4_MPV1;14897;14913;Y;370
13995;RUL1_SRP1;15521;15733;Y;220
14008;TPM1_PSSM1;15901;15175;Y;230
14009;PSSM1_GUIF1;15175;14211;Y;320
14010;DDA2_OL2;13957;17301;Y;190
14011;OL2_PLE;17301;14991;Y;370
14012;PLE_FZL2;14991;17222;Y;350
14013;FZL2_APDL2;17222;13108;Y;190
14014;APDL2_FSCA2;13108;17175;Y;390
14015;FSCA2_FTV2;17175;17213;Y;190
14016;FTV2_PMV2;17213;15033;Y;230
14017;PMV2_QSTG2;15033;15244;Y;280
14020;PTLS3_SMAT2;15195;15656;Y;650
14021;SMAT2_MATM3;15656;14785;Y;750
14024;GODH4_PQBT4;14174;15069;Y;300
14025;PQBT4_MATC2;15069;14779;Y;270
14026;MATC2_CRV2;14779;13807;Y;300
