ID;NAME;SHORT_NAME;LATITUDE;LONGITUDE;LABEL_POS;VISIBLE;ACTIVE;CODE
16369;LARGO DOS MOGOS;LARGO DOS MOGOS;41,22573;-8,600196;T;Y;Y;LMG1
14962;MATADOURO;MATADOURO;41,21571;-8,596638;T;Y;Y;MTD2
12984;ROT.AGRA;ROT.AGRA;41,2139;-8,594769;T;Y;Y;AGR3
12985;ROT.AGRA;ROT.AGRA;41,21404;-8,59464;T;Y;Y;AGR4
13103;ALDEIA NOVA;ALDEIA NOVA;41,22014;-8,58688;T;Y;Y;ANV1
13104;ALDEIA NOVA;ALDEIA NOVA;41,22103;-8,586667;T;Y;Y;ANV2
16105;ZONA INDUSTRIAL;ZONA INDUSTRIAL;41,22495;-8,583528;T;Y;Y;ZIND1
16106;ZONA INDUSTRIAL;ZONA INDUSTRIAL;41,22509;-8,583657;T;Y;Y;ZIND2
14911;MONTE PENEDO;MONTE PENEDO;41,22865;-8,579762;T;Y;Y;MPN1
14912;MONTE PENEDO;MONTE PENEDO;41,2288;-8,579847;T;Y;Y;MPN2
15137;PRIMAVERA;PRIMAVERA;41,23109;-8,575161;T;Y;Y;PRMV1
15138;PRIMAVERA;PRIMAVERA;41,23117;-8,575283;T;Y;Y;PRMV2
15819;TV.ARDEGÃES;TV.ARDEGÃES;41,22921;-8,569972;T;Y;Y;TARG2
13128;ARDEGÃES;ARDEGÃES;41,22705;-8,566871;T;Y;Y;ARDG3
13129;ARDEGÃES;ARDEGÃES;41,22716;-8,566699;T;Y;Y;ARDG4
15584;STO.CONDESTÁVEL;STO.CONDESTÁVEL;41,23154;-8,608333;T;Y;Y;SCND2
17002;EDIF. TRANSPARENTE;EDIF. TRANSPARENTE;41,17231;-8,687928;T;Y;Y;ETRP1
17003;EDIF. TRANSPARENTE;EDIF. TRANSPARENTE;41,17239;-8,688181;T;Y;Y;ETRP2
15306;R.BREVIA;R.BREVIA;41,25451;-8,70968;T;Y;Y;RBRV1
15307;R.BREVIA;R.BREVIA;41,25465;-8,709582;T;Y;Y;RBRV2
12979;AGUIAR NOGUEIRA;AGUIAR NOGUEIRA;41,18551;-8,486266;T;Y;Y;AGN
15437;RAMALDE DO MEIO;RAMALDE DO MEIO;41,1729;-8,64064;T;Y;Y;RM3
13774;CASA DE RAMALDE;CASA DE RAMALDE;41,16822;-8,645971;T;Y;Y;CRM1
14339;IGREJA DE RAMALDE;IGREJA DE RAMALDE;41,16816;-8,649147;T;Y;Y;IRM2
14338;IGREJA DE RAMALDE;IGREJA DE RAMALDE;41,16819;-8,648787;T;Y;Y;IRM1
14706;LORDELO;LORDELO;41,15455;-8,648027;T;Y;Y;LRD4
13253;BAIRRO BESSA LEITE;BAIRRO BESSA LEITE;41,15862;-8,644584;T;Y;Y;BBL1
14968;MOUTEIRA;MOUTEIRA;41,15466;-8,650267;T;Y;Y;MTRA
14864;MUNDO NOVO;MUNDO NOVO;41,20086;-8,662546;T;Y;Y;MN1
14865;MUNDO NOVO;MUNDO NOVO;41,20097;-8,662678;T;Y;Y;MN2
14890;MONTE DOS PIPOS;MONTE DOS PIPOS;41,2004;-8,659347;T;Y;Y;MP1
14891;MONTE DOS PIPOS;MONTE DOS PIPOS;41,20044;-8,659543;T;Y;Y;MP2
15354;REGUINHO D ÁGUA;REGUINHO D ÁGUA;41,20367;-8,657871;T;Y;Y;RDAG1
15355;REGUINHO D ÁGUA;REGUINHO D ÁGUA;41,20366;-8,658077;T;Y;Y;RDAG2
17223;GUEDES AMORIM;GUEDES AMORIM;41,12585;-8,619147;T;Y;Y;GA1
14789;MATERNIDADE;MATERNIDADE;41,15147;-8,621131;T;Y;Y;MATR1
13639;CAMPO PASTELEIRA;CAMPO PASTELEIRA;41,15222;-8,662437;T;Y;Y;CMPT1
13640;CAMPO PASTELEIRA;CAMPO PASTELEIRA;41,15289;-8,661849;T;Y;Y;CMPT2
15692;S. PEDRO DA COVA;S. PEDRO DA COVA;41,15189;-8,504077;T;Y;Y;SPC1
15168;PASSAL;PASSAL;41,15173;-8,501942;T;Y;Y;PSL1
15169;PASSAL;PASSAL;41,15182;-8,50196;T;Y;Y;PSL2
15693;S.PEDRO C. /PASSAL;S.PEDRO C. /PASSAL;41,15231;-8,49985;T;Y;Y;SPC2
15694;S.PEDRO C. /PASSAL;S.PEDRO C. /PASSAL;41,1523;-8,499971;T;Y;Y;SPC3
14277;HOSP. P. HISPANO;HOSP. P. HISPANO;41,18081;-8,663626;T;Y;Y;HSPH1
14278;HOSP. P. HISPANO;HOSP. P. HISPANO;41,18068;-8,663725;T;Y;Y;HSPH2
14234;HUMBERTO CRUZ;HUMBERTO CRUZ;41,19864;-8,699465;T;Y;Y;HMBC1
14235;HUMBERTO CRUZ;HUMBERTO CRUZ;41,19879;-8,699502;T;Y;Y;HMBC2
17009;EXPONOR;EXPONOR;41,20116;-8,693113;T;Y;Y;EXP6
12953;ASSOC.EMP.PORTUGAL;ASSOC.EMP.PORTUGAL;41,19477;-8,689589;T;Y;Y;AEP1
13327;BOLHÃO METRO;BOLHÃO METRO;41,14964;-8,604946;T;Y;Y;BLM
15052;PINHAL;PINHAL;41,23071;-8,572669;T;Y;Y;PNHL1
15053;PINHAL;PINHAL;41,23082;-8,572529;T;Y;Y;PNHL2
14790;MATERNIDADE;MATERNIDADE;41,15047;-8,622394;T;Y;Y;MATR2
14837;MIGUEL BOMBARDA;MIGUEL BOMBARDA;41,14868;-8,62291;T;Y;Y;MGB2
13793;CARTES;CARTES;41,16258;-8,574905;T;Y;Y;CRT1
14010;ESTR.NACIONAL 109;ESTR.NACIONAL 109;41,0949;-8,629488;T;Y;Y;E109
14701;L.GO 1º DEZEMBRO;L.GO 1º DEZEMBRO;41,14312;-8,609038;T;Y;Y;LPDZ
13440;BATALHA;BATALHA;41,14491;-8,604424;T;Y;Y;BTLH6
13312;BARROS LIMA;BARROS LIMA;41,15417;-8,595782;T;Y;Y;BL4
13469;CAMPO 24 DE AGOSTO;CAMPO 24 DE AGOSTO;41,14881;-8,598981;T;Y;Y;C24A3
15756;S. TOMÉ;S. TOMÉ;41,18391;-8,609391;T;Y;Y;ST3
15757;S. TOMÉ;S. TOMÉ;41,18399;-8,609595;T;Y;Y;ST4
15725;SRA. HORA;SRA. HORA;41,1866;-8,654983;T;Y;Y;SRHR
15215;QUINTA BELA VISTA;QUINTA BELA VISTA;41,11888;-8,634988;T;Y;Y;QBV1
15216;QUINTA BELA VISTA;QUINTA BELA VISTA;41,11881;-8,634708;T;Y;Y;QBV2
17377;PRACETA AREIAS;PRACETA AREIAS;41,16012;-8,555321;T;Y;Y;PCAR1
17378;PRACETA AREIAS;PRACETA AREIAS;41,16027;-8,555221;T;Y;Y;PCAR2
14186;GAIASHOPPING;GAIASHOPPING;41,11839;-8,622245;T;Y;Y;GSHP1
14187;GAIASHOPPING;GAIASHOPPING;41,11873;-8,622182;T;Y;Y;GSHP2
15452;R. DAS MATAS;R. DAS MATAS;41,12104;-8,633574;T;Y;Y;RMT1
15493;R. SR MATOSINHOS;R. SR MATOSINHOS;41,11772;-8,627663;T;Y;Y;RSMT2
14849;MAJOR PÁLA;MAJOR PÁLA;41,13066;-8,630961;T;Y;Y;MJP2
14133;GANDARA;GANDARA;41,11607;-8,634459;T;Y;Y;GDR1
16334;L. DOMINGOS MATOS;L. DOMINGOS MATOS;41,12239;-8,632797;T;Y;Y;LGDM2
13573;CHÃS;CHÃS;41,14385;-8,64194;T;Y;Y;CHAS1
13965;DISPENSÁRIO;DISPENSÁRIO;41,12925;-8,614961;T;Y;Y;DISP1
