GLINE_VERSION_ID;LINE_ID
106;91
116;98
818;144
1256;634
1616;834
1618;836
1619;837
1620;838
1622;840
1623;841
1624;842
1625;843
1626;844
1627;845
1628;846
1656;854
1796;954
1797;961
1799;898
1800;956
1801;957
1803;1020
1816;1019
1817;1014
1837;934
1838;974
1839;975
1840;1016
1842;1054
1843;895
1844;896
1845;1055
1847;979
1848;875
1849;894
1851;1017
1852;1018
1853;1074
1854;1022
1855;1023
1856;1024
1857;976
1877;1094
1878;1021
1879;1095
1897;1115
1898;1116
1916;914
1917;960
1918;959
1919;1134
1920;1135
1922;1136
1923;915
1924;1137
1925;1015
1936;1154
1937;1155
2116;1174
2196;1214
2257;1274
2316;1022
2316;1154
2337;1335
2356;1354
2376;1374
2396;1414
2456;1434
2476;1454
2496;914
2496;954
2496;956
2496;974
2496;1414
2516;976
2516;1015
2516;1094
2516;1354
2516;1374
2516;800726
2536;1023
2536;1024
2536;1135
2536;800606
2537;875
2537;895
2537;896
2537;959
2537;800365
2538;961
2538;1021
2538;1074
2538;1115
2538;1116
2556;898
2556;960
2556;1095
2556;1155
2556;1274
2556;1594
2576;894
2576;915
2576;1054
2576;1137
2576;1434
2576;800746
2576;800766
2577;1015
2577;1022
2577;1154
2577;1414
2577;2235
2617;934
2617;1016
2617;1017
2617;1134
2637;1475
2816;144
2816;1174
2816;1714
2856;1514
2876;979
2876;1514
2976;1594
3036;1634
3256;1714
3416;1774
3896;2134
3916;2154
3917;2155
3936;2174
3996;2214
4017;2235
4018;144
4018;1714
4020;2237
801005;1055
801005;1475
801005;2214
801005;800325
801005;800366
801125;800325
801165;800365
801245;800467
801366;1021
801366;1074
801507;800366
801547;800386
801548;800387
801567;800426
801587;800406
801607;1094
801607;1374
801627;800446
801667;98
801667;800365
801727;800506
801747;800526
801767;800546
801807;800566
801827;800586
801867;1634
801867;800526
801907;800606
801947;800646
801967;800666
802047;800686
802067;1014
802067;1018
802067;1020
802067;1136
802067;1454
802068;957
802068;975
802068;979
802068;1019
802068;1514
802108;834
802108;836
802108;837
802108;838
802108;840
802108;841
802108;842
802108;843
802108;844
802108;845
802108;846
802127;800726
802147;834
802147;914
802187;800746
802207;800766
802227;898
802227;1274
802247;800806
802248;800807
802267;957
802267;975
802267;979
802267;1014
802267;1018
802267;1019
802267;1020
802267;1136
802267;1454
802267;1514
802287;800826
802307;837
802307;1335
