ID;PATH_VERSION_ID;STOP_ID;ZONE_ID
66550;1025188;492;2
66551;1025188;508;2
66552;1025188;511;2
66553;1025188;1321;2
66554;1025188;1310;2
66555;1025188;1312;2
66556;1025188;1307;2
66557;1025188;1309;2
66558;1025188;1393;2
66559;1025188;1392;2
66560;1025188;1390;2
66561;1025188;1399;2
73573;1025154;418;2
73574;1025154;524;2
73575;1025154;537;2
73576;1025154;542;2
73577;1025154;65;2
73578;1025154;1000;2
73579;1025154;998;2
73580;1025154;1981;2
73581;1025154;1004;2
64861;1023329;140;2
64862;1023329;145;2
64863;1023329;483;2
64864;1023329;501;2
64865;1023329;485;2
64866;1023329;505;2
64867;1023329;514;2
64868;1023329;512;2
64869;1023329;4000692;2
64870;1023329;492;2
64871;1023329;1445;2
47931;1025185;699;2
47932;1025185;697;2
47933;1025185;695;2
47934;1025185;693;2
47935;1025185;704;2
47936;1025185;674;2
47937;1025185;676;2
47938;1025185;494;2
47939;1025185;499;2
47940;1025185;2381;2
47941;1025185;137;2
47942;1025185;135;2
47943;1025185;174;2
47944;1025185;172;2
47945;1025185;189;2
47946;1025185;187;2
47947;1025185;1088;2
47948;1025185;1086;2
47949;1025185;1091;2
47950;1025185;2008;2
47951;1025185;1971;2
47952;1025185;997;2
47953;1025185;999;2
47954;1025185;521;2
47955;1025185;517;2
47956;1025185;515;2
47957;1025185;52;2
47958;1025185;585;2
47959;1025185;1255;2
47960;1025185;1252;2
47961;1025185;2182;2
47962;1025185;576;2
47963;1025185;574;2
47964;1025185;572;2
47965;1025185;1274;2
47966;1025185;1277;2
64872;1023329;1447;2
64873;1023329;1455;2
64874;1023329;1458;2
64875;1023329;1431;2
73582;1025154;1002;2
73583;1025154;4000172;2
73584;1025154;1967;2
73585;1025154;1949;2
73586;1025154;379;2
73587;1025154;348;2
73588;1025154;313;2
73589;1025154;1560;2
73590;1025154;1558;2
73591;1025154;2119;2
73592;1025154;2127;2
73593;1025154;2122;2
73601;4005241;65;2
73602;4005241;1000;2
73603;4005241;998;2
73604;4005241;1981;2
73605;4005241;1004;2
73606;4005241;1002;2
73607;4005241;4000172;2
73608;4005241;1967;2
73609;4005241;1949;2
73610;4005241;379;2
73611;4005241;348;2
73612;4003981;1272;2
73613;4003981;1275;2
73614;4003981;578;2
73615;4003981;2196;2
73616;4003981;2193;2
73617;4003981;2187;2
73618;4003981;409;2
73619;4003981;407;2
73620;4003981;70;2
73621;4003981;72;2
73622;4003981;74;2
73623;4003981;519;2
73624;4003981;418;2
73625;4003981;524;2
73626;4003981;537;2
73627;4003981;542;2
73628;4003981;65;2
73629;4003981;1000;2
73630;4003981;998;2
73631;4003981;1981;2
73632;4003981;1004;2
73633;4003981;1002;2
73634;4003981;4000172;2
73635;4003981;1967;2
73636;4003981;1949;2
73637;4003981;379;2
73638;4003981;348;2
74851;4005981;177;2
74852;4005981;185;2
74853;4005981;4001032;2
74854;4005981;4001032;2
74855;4005981;4001032;2
74856;4005981;4001032;2
75738;4008141;627;2
75739;4008141;114;2
47859;1025186;1277;2
47860;1025186;1275;2
47861;1025186;571;2
47862;1025186;573;2
47863;1025186;575;2
47864;1025186;2175;2
47865;1025186;1258;2
47866;1025186;1253;2
47867;1025186;1254;2
47868;1025186;589;2
47869;1025186;586;2
47870;1025186;53;2
47871;1025186;516;2
47872;1025186;518;2
47873;1025186;522;2
47874;1025186;1000;2
47875;1025186;998;2
47876;1025186;1980;2
47877;1025186;2007;2
47878;1025186;1090;2
47879;1025186;162;2
47880;1025186;1087;2
47881;1025186;1089;2
47882;1025186;186;2
47883;1025186;188;2
47884;1025186;171;2
47885;1025186;173;2
47886;1025186;165;2
47887;1025186;140;2
47888;1025186;144;2
47889;1025186;2391;2
47890;1025186;500;2
47891;1025186;493;2
47892;1025186;669;2
47893;1025186;671;2
47894;1025186;703;2
47895;1025186;694;2
47896;1025186;696;2
47897;1025186;698;2
47898;1025186;699;2
64876;1023329;1429;2
64877;1023329;1427;2
64878;1023329;1425;2
64879;1023329;1415;2
64880;1023329;1430;2
64881;1023329;1432;2
51922;1024085;1338;2
51923;1024085;1333;2
51924;1024085;1331;2
51925;1024085;1622;2
51926;1024085;1635;2
51927;1024085;1626;2
51928;1024085;2077;2
51929;1024085;2079;2
51930;1024085;2109;2
51931;1024084;2109;2
51932;1024084;2080;2
51933;1024084;2078;2
51934;1024084;1623;2
51935;1024084;1625;2
51936;1024084;1621;2
51937;1024084;1630;2
51938;1024084;1330;2
51939;1024084;1338;2
64882;1023329;1436;2
64883;1023329;1438;2
64884;1023329;1490;2
64885;1023329;1487;2
64886;1023329;1495;2
64887;1023329;1497;2
64888;1023329;1493;2
64889;1023329;1469;2
64890;1023329;1471;2
64891;1023329;1475;2
64892;1023328;1475;2
64893;1023328;1477;2
64894;1023328;1476;2
64895;1023328;1479;2
64896;1023328;1470;2
64897;1023328;1494;2
64898;1023328;1496;2
64899;1023328;1492;2
64900;1023328;1484;2
