ID;NAME;START_NODE_ID;END_NODE_ID;SEG_TYPE_ID;DEFAULT_LENGTH;AVG_DURATION;VISIBLE
1003465;V-Mg(Est)_PFigueir;64;17;2;10000;45;Y
1003466;V-PFigueir_Mg(Est);17;64;2;10000;45;Y
1003481;Z_Graca_RConceic;437;1000088;1;1560;13;Y
1003482;Z_RConceic_Graca;1000088;437;1;1560;17;Y
1003483;Z_RConceic_Estrela;1000088;1000012;1;2420;18;Y
1003484;Z_Estrela_RConceic;1000012;1000088;1;2630;17;Y
1003485;Z_PEspanha_EOriente;8;148;1;12510;35;Y
1003486;Z_EOriente_PEspanha;148;8;1;12710;35;Y
1003521;Picheleir_PPCouceir;125;1000349;1;3580;15;Y
1003522;PPCouceir_Picheleir;1000349;125;1;2990;11;Y
1003523;Z_PPCouceir_Anjos;1000349;1000113;1;2250;11;Y
1003524;Z_Anjos_PPCouceir;1000113;1000349;1;2100;10;Y
1003541;PFigueir_STome;17;1000369;1;1070;10;Y
1003542;STome_PFigueir;1000369;17;1;1320;11;Y
1003561;V-RConceic_SA(Est);1000088;1000007;2;4850;25;Y
1003562;V-SA(Est)_RConceic;1000007;1000088;2;4850;25;Y
1003581;Z_MPombal_SSueste;85;1000389;1;2590;15;Y
1003582;Z_SSueste_MPombal;1000389;85;1;2850;14;Y
1003583;V-Mf(Est)_SSueste;25;1000389;2;12054;40;Y
1003584;V-SSueste_Mf(Est);1000389;25;2;9358;40;Y
1003601;StAmaro_BelemJ;171;149;1;2210;6;Y
1003602;BelemJ_StAmaro;149;171;1;2210;6;Y
1003603;V-SA(Est)_StAmaro;1000007;171;2;1;5;Y
1003823;V-AvJMalhoa_CREst;1000269;7;2;8000;30;Y
1003861;Z_MMoniz_Areeiro;47;9;1;2950;13;Y
1003701;V-CSanto_Pt(Est);140;26;2;9400;40;Y
1003862;Z_Areeiro_MMoniz;9;47;1;3240;16;Y
1003863;Z_Areeiro_EOriente;9;148;1;7400;26;Y
1003864;Z_EOriente_Areeiro;148;9;1;7300;26;Y
1003865;EOriente_PNacoesN;148;40;1;2740;10;Y
