PATH_SEG_VERSION_ID;TRACK_ID;SETR_ORDER
4020769;516;7
4020769;517;8
4020769;518;9
4026549;1491;1
4026549;1492;2
4026549;1493;3
4026549;1494;4
4026549;1495;5
4026549;1496;6
4026549;1497;7
4026549;1353;8
4026549;1498;9
4026549;1499;10
4026549;1500;11
4026549;1501;12
4026549;177;13
4026549;1502;14
4030254;12056;0
4030256;12058;0
4030258;12057;0
4030259;12059;0
4030346;554;0
4030346;555;1
4030346;556;2
4030346;557;3
4030346;558;4
4030346;559;5
4030346;560;6
4030346;9736;7
4030346;9756;8
4030366;12076;0
4020775;1434;0
4020775;1435;1
4020775;1436;2
4020775;5576;3
4020776;7056;0
4030366;590;1
4030366;591;2
4030366;592;3
4030366;593;4
4030366;594;5
4030366;595;6
4030366;596;7
4030366;597;8
4030366;5556;9
4030366;5557;10
4030386;554;0
4030386;555;1
4030386;556;2
4030386;557;3
4030386;558;4
4030386;559;5
4020777;510;0
4020777;511;1
4020777;512;2
4020777;513;3
4020777;514;4
4020777;515;5
4020777;516;6
4020778;517;0
4020778;518;1
4020778;1374;2
4020778;1375;3
4020778;1376;4
4020778;1438;5
4020778;1439;6
4020778;1440;7
4020778;1441;8
4020778;1442;9
4020778;1443;10
4020778;312;11
4020778;313;12
4020778;1444;13
4029989;1436;4
4029989;1437;5
4029990;689;0
4029990;293;1
4029990;294;2
4029990;2158;3
4029990;2159;4
4029990;2160;5
4029990;2161;6
4029991;2033;0
4029991;2034;1
4029991;2162;2
4029991;2163;3
4029991;2164;4
4018809;1337;0
4018809;134;1
4018809;135;2
4018809;136;3
4018809;137;4
4018809;138;5
4018809;139;6
4018809;140;7
4029991;2165;5
4029991;2166;6
4029991;2167;7
4029991;1937;8
4029991;1288;9
4029991;1289;10
4029991;1290;11
4029991;1291;12
4030386;560;6
4030386;9736;7
4030386;9756;8
4030387;563;0
4030387;564;1
4030387;565;2
4030387;566;3
4030387;567;4
4030387;568;5
4030387;569;6
4030406;582;0
4030406;583;1
4030406;584;2
4030406;585;3
4030406;586;4
4030406;587;5
4030406;588;6
4030407;589;0
4030407;590;1
4030407;591;2
4030407;592;3
669;896;0
669;897;1
669;898;2
669;899;3
669;900;4
4013820;1627;0
4013820;305;1
4013820;1628;2
4013820;1629;3
4013820;1630;4
4013820;1631;5
4013820;1632;6
4013820;1633;7
4013820;418;8
4013820;1634;9
4013820;1635;10
4013820;1636;11
4013820;1637;12
4013820;1638;13
4013820;1639;14
4013821;1640;0
4013821;1641;1
4013821;1642;2
4013821;1643;3
4013821;1644;4
4013821;1645;5
4031806;7156;0
4031806;607;1
4031806;777;2
4031806;778;3
4031806;9956;4
4031806;6096;5
4031807;783;0
4031807;784;1
4031807;785;2
4031807;5836;3
4031807;1669;4
4031807;1670;5
4031807;1671;6
4016946;1646;0
4016946;2050;1
4016946;2051;2
4016946;2052;3
4016946;2053;4
4016946;1038;5
4016946;2054;6
4016946;2055;7
4016946;2056;8
4016946;341;9
4016946;342;10
4016946;2519;11
4016947;79;0
4016947;2520;1
4016947;2521;2
4016947;2522;3
4016947;905;4
4016947;906;5
4016947;2523;6
4016947;2524;7
4016947;1251;8
4016947;2525;9
4016948;241;0
4016948;242;1
4016948;2526;2
4016948;2527;3
4016948;2009;4
4016949;2010;0
4016949;1260;1
4016949;1261;2
4016949;1134;3
4016949;1135;4
4016950;2308;0
4016950;2512;1
4016950;2513;2
4016950;961;3
4016950;962;4
4016950;2514;5
4016950;2515;6
4016950;46;7
4016951;2516;0
4016951;2039;1
4016951;2040;2
4016951;2041;3
4016951;1837;4
4016951;2042;5
4016951;2043;6
4016951;2044;7
4016951;2045;8
4016951;2046;9
4016951;2047;10
4016951;1437;11
4031786;1692;0
4018841;141;0
4018841;142;1
4018841;143;2
4018841;144;3
4018841;145;4
4018842;146;0
4018842;147;1
4018842;148;2
4018842;149;3
4018842;150;4
4018845;95;0
4018845;96;1
4018845;97;2
4018845;98;3
4018845;99;4
4018845;100;5
4018845;101;6
4018845;102;7
4018846;103;0
4018846;104;1
4018846;105;2
4018846;106;3
4018846;107;4
4018846;108;5
4018846;109;6
4020788;6816;0
4020788;6817;1
4020788;1640;2
4020788;6818;3
4020788;6819;4
4020788;6820;5
4020788;6821;6
4020788;6822;7
4020788;6823;8
4020788;6824;9
4020788;2034;10
4020788;2035;11
4020788;415;12
4020788;416;13
4020788;450;14
4020788;1440;15
4020788;1441;16
4020789;6825;0
4020789;6826;1
4018846;110;7
4018846;111;8
4018846;112;9
4018846;113;10
4018847;114;0
4018851;128;0
4018851;129;1
4018851;130;2
4018851;131;3
4018851;132;4
4018852;133;0
4018852;134;1
4018852;135;2
4018852;136;3
4018852;137;4
4018852;138;5
4018852;139;6
4018852;140;7
4018853;107;0
4018853;108;1
4018853;109;2
4018853;110;3
4018854;111;0
4018854;112;1
4018854;113;2
4018854;114;3
4031786;611;1
4031786;612;2
4031786;1107;3
4031786;1108;4
4031786;1693;5
4031786;1694;6
4031786;1695;7
4031787;1696;0
4031787;848;1
4031787;1697;2
4031787;1698;3
4031787;1699;4
4031787;1700;5
4031787;1701;6
4031787;1702;7
4031787;1703;8
4031787;1704;9
4031787;1705;10
4031787;1706;11
4031788;1707;0
4031788;1708;1
4031788;1709;2
4031788;1130;3
4031788;1131;4
4031788;1710;5
4031788;1711;6
4031788;1712;7
4031788;1713;8
4031788;1714;9
4031788;1715;10
4031788;5916;11
4031788;1305;12
4031788;1306;13
4031788;862;14
4031789;863;0
4031789;193;1
4031789;864;2
4031789;865;3
4031789;866;4
4031789;7176;5
4031807;1672;7
4031807;1673;8
4031807;1674;9
4031807;1675;10
4031807;1143;11
4031807;1144;12
4031808;1676;0
4031808;1677;1
4031808;1678;2
4031808;1679;3
4031808;1680;4
4031808;1681;5
4031808;1682;6
4031808;1683;7
4031808;1684;8
4031808;1685;9
4031808;1686;10
4031808;1687;11
4031808;800;12
4020789;6827;2
4020789;6828;3
4020789;314;4
4020789;315;5
4020789;316;6
4020789;317;7
4020789;6830;8
4020789;7096;9
4020789;3796;10
4020789;2247;11
4020789;6832;12
4020789;6833;13
4031809;1688;0
4031809;1689;1
4031809;1690;2
4031809;1101;3
4031809;1102;4
4031809;678;5
4031809;679;6
4031809;680;7
4031809;1691;8
4022250;1472;0
4022250;1473;1
4022250;1474;2
4022250;1475;3
4022251;1476;0
4022251;1477;1
4022251;1478;2
4022251;1479;3
4022251;1480;4
4022286;1338;0
4022286;1339;1
4022286;969;2
4022286;970;3
4022286;1340;4
4022286;1341;5
4022286;1342;6
4022286;1343;7
4022286;1344;8
4022286;978;9
4022286;979;10
4022286;927;11
4022286;928;12
4022286;929;13
4022287;930;0
4022287;246;1
4022287;247;2
4022287;248;3
4022287;249;4
4022288;250;0
4022288;251;1
4022288;252;2
4022288;253;3
4022288;254;4
4022288;255;5
4022288;256;6
4022288;257;7
4022288;258;8
4022251;1481;5
4022251;1482;6
4022251;7356;7
4022251;7298;8
4024687;1467;12
4024688;1476;0
4024688;1477;1
4024688;1478;2
4024688;1479;3
4024688;1480;4
4024688;1481;5
4024688;1482;6
4023266;2634;0
4023266;154;1
4023266;155;2
4023266;156;3
4023266;157;4
4023266;158;5
4023266;40;6
4023266;7996;7
4023266;2310;8
4023266;162;9
4023266;163;10
4023286;95;0
4023286;96;1
4023286;7976;2
4023286;7977;3
4023286;84;4
4023286;7979;5
4023286;100;6
4023286;101;7
4023286;102;8
4023286;103;9
4023286;2631;10
4023286;7956;11
4024688;7356;7
4024688;7298;8
4024688;7299;9
4024688;7300;10
4024688;7317;11
4024689;1203;0
4024689;1236;1
4024689;1237;2
4024689;1486;3
4024689;1487;4
4024689;27;5
4024689;1488;6
4019306;2243;0
4019306;2244;1
4019306;2245;2
4019306;2246;3
4019306;2247;4
4019306;2622;5
4019307;6616;0
4019307;2033;1
4019307;2034;2
4019307;2035;3
4019307;2036;4
4019307;2037;5
4019307;2038;6
4019727;6676;0
4019728;6677;0
4029670;1191;2
4029670;932;3
4029670;933;4
4029286;682;0
4029286;683;1
4029286;684;2
4029286;685;3
4029286;686;4
4029286;687;5
4029286;688;6
4029286;5636;7
4029286;5577;8
4029286;293;9
4016306;1970;0
4016306;1971;1
4016306;1972;2
4016306;1973;3
4016306;1974;4
4016306;1975;5
4016306;1976;6
4016306;3538;7
4016306;3539;8
4016306;1978;9
4016306;1183;10
4016306;1184;11
4016306;1185;12
4016306;1186;13
4016306;1187;14
4016307;655;0
4016307;1281;1
4016307;1282;2
1105;198;0
1105;199;1
1105;200;2
1105;201;3
1105;202;4
1105;203;5
1105;204;6
1105;205;7
1105;206;8
1105;207;9
1106;208;0
1106;209;1
1106;210;2
1106;211;3
1106;212;4
1106;213;5
1106;214;6
1106;215;7
1106;77;8
1106;216;9
4029286;294;10
4029286;295;11
4029286;296;12
4029286;2239;13
4029286;3556;14
4029287;320;0
4029287;321;1
4029287;322;2
4029287;323;3
4029287;324;4
4029287;709;5
4029287;224;6
4029287;4836;7
4029287;227;8
4029287;228;9
4029287;11616;10
4029287;710;11
4029651;2574;9
4029651;2575;10
4029651;2147;11
4029651;2576;12
4029651;429;13
4029651;2577;14
4029652;1190;0
4029652;658;1
4029652;1191;2
4029652;932;3
4029652;933;4
4029652;892;5
4029652;893;6
4029652;894;7
4029652;2578;8
4029652;2579;9
4029653;2580;0
4029654;2564;0
4029654;2565;1
4016530;5698;0
4016530;328;1
4016530;1031;2
4029654;2566;2
4029654;2567;3
4029654;2568;4
4029654;2569;5
4029654;2570;6
4029654;422;7
4029654;423;8
4029654;424;9
4029654;425;10
4029654;426;11
4029654;2146;12
4029654;2147;13
4024689;1489;7
4029654;2576;14
4024786;2;0
4016530;1032;3
4016530;1033;4
4024786;3;1
4016530;1034;5
4016530;1035;6
4016530;1036;7
4016530;1037;8
4024786;4;2
4024786;1457;3
4024786;1198;4
4024786;1199;5
4019886;30;0
4019886;31;1
4019886;32;2
4024786;1200;6
4016530;1038;9
4016530;1039;10
4016531;540;0
4016531;541;1
4016531;542;2
4016531;1040;3
4016531;1041;4
4016531;1042;5
4016531;1043;6
4016531;1044;7
4016531;1045;8
4024786;7457;7
4024787;8156;0
4024787;1459;1
4024787;7296;2
4024787;7297;3
4024787;7316;4
4024787;7336;5
4024787;1461;6
4024787;1462;7
4024787;722;8
4024787;1463;9
4024787;1464;10
4024787;6756;11
4024787;1467;12
4024788;1468;0
4024788;1469;1
4024788;1470;2
4024788;1471;3
4024789;1472;0
4024789;1473;1
4024789;1474;2
4024789;1475;3
4024790;1476;0
4024790;1477;1
4024790;1478;2
4024790;1479;3
4024790;1480;4
4024790;1481;5
4024790;1482;6
4024790;7356;7
4024790;7298;8
4024790;7299;9
4024790;7300;10
4024790;7317;11
4024791;1203;0
4024791;1236;1
4024791;1237;2
4024791;1486;3
4024791;1487;4
4024791;27;5
4024791;1488;6
4024791;1489;7
4029654;429;15
4029654;2577;16
4029655;1190;0
4029655;658;1
4029655;1191;2
4029655;932;3
4029655;933;4
4029655;892;5
4029655;893;6
4029655;894;7
4029655;2578;8
4029655;2579;9
4029656;2580;0
4029666;2564;0
4029666;2565;1
4029666;2566;2
4029666;2567;3
4016307;1283;3
4016307;1284;4
4016307;1979;5
4016307;1980;6
4016307;1981;7
4016307;1982;8
4016307;585;9
4016307;586;10
4016307;587;11
4016307;1002;12
4016531;1046;9
4016531;1047;10
4016531;739;11
4016531;1048;12
4029666;2568;4
4029666;2569;5
4029666;2570;6
4029666;2571;7
4029666;2572;8
4029666;2573;9
4029666;2574;10
4029666;2575;11
4029666;2147;12
4029666;2576;13
4029666;429;14
4029666;2577;15
4029667;1190;0
4029667;658;1
4029667;1191;2
4029667;932;3
4029667;933;4
4029667;892;5
4029667;893;6
4029667;894;7
4029667;2578;8
4029667;2579;9
4029668;2580;0
4029669;2564;0
4029669;2565;1
4029669;2566;2
4029669;2567;3
4029669;2568;4
4029669;2569;5
4029669;2570;6
4029669;422;7
4029669;423;8
4029669;424;9
4029669;425;10
4029669;426;11
4029669;2146;12
4029669;2147;13
4029669;2576;14
4029669;429;15
4029669;2577;16
4029670;1190;0
4029670;658;1
4014846;1627;0
4014846;305;1
4014846;1628;2
4014846;1629;3
4014846;1630;4
4014846;1631;5
4014846;1632;6
4014846;1633;7
4014846;418;8
4014846;1634;9
4014846;1635;10
4014846;1636;11
4014846;1637;12
4014846;1638;13
4014846;1639;14
4014847;1640;0
4014847;1641;1
4014847;1663;2
4014847;1664;3
