ID;CODE;COLOR;OBS;PRECEDING_ID;DEPOTS;SCHEDULE_ID;VEHICLETYPE_ID
1426659;61;9539985;;;0;10607624;
1426660;62;9868950;;;0;10607624;
1426661;63;10197915;;;0;10607624;
1426662;64;10526880;;;0;10607624;
1426663;65;10855845;;;0;10607624;
1426664;66;11184810;;;0;10607624;
1320643;06;65535;;;0;10576723;
1316979;03;16776960;;;0;10575563;
1316980;01;255;;;0;10575563;
1316981;02;65280;;;0;10575563;
1316982;04;8388863;;;0;10575563;
1320644;04;8388863;;;0;10576723;
1320645;07;16711935;;;0;10576723;
1426665;67;11513775;;;0;10607624;
1384179;01;255;;;0;10590023;
1384180;02;65280;;;0;10590023;
1384181;03;16776960;;;0;10590023;
1384182;04;8388863;;;0;10590023;
1384183;05;32768;;;0;10590023;
1384184;06;65535;;;0;10590023;
1384185;07;16711935;;;0;10590023;
1199159;20;12632256;;;1;10534763;
1199160;08;14068651;;;0;10534763;
1199161;02;65280;;;0;10534763;
1199162;03;16776960;;;0;10534763;
1199163;05;32768;;;0;10534763;
1199164;11;16744640;;;1;10534763;
1389159;99;0;;;0;10591823;
1395043;01;255;;;0;10595023;
1402839;84;7895160;;;0;10598843;
1395044;02;65280;;;0;10595023;
1258059;01;255;;;0;10564943;
1199165;01;255;;;1;10534763;
1395045;03;16776960;;;1;10595023;
1258060;02;65280;;;0;10564943;
1261019;04;8388863;;;0;10565983;
1261020;05;32768;;;0;10565983;
1261021;01;255;;;0;10565983;
1436739;01;255;;;0;10612403;
1436740;04;8388863;;;0;10612403;
1436741;06;65535;;;0;10612403;
1436742;03;16776960;;;0;10612403;
1436743;07;16711935;;;0;10612403;
1436744;08;13540765;;;0;10612403;
1436745;05;32768;;;0;10612403;
1261022;02;65280;;;0;10565983;
1436746;02;65280;;;0;10612403;
1395046;04;8388863;;;0;10595023;
1397379;02;65280;;;0;10595463;
1397380;04;8388863;;;1;10595463;
1397381;06;65535;;;1;10595463;
1199166;04;8388863;;;0;10534763;
1199167;10;33023;;;0;10534763;
1199168;09;8405056;;;1;10534763;
1199169;06;65535;;;0;10534763;
1199170;07;16711935;;;1;10534763;
1199171;31;8388736;;;1;10534763;
1199172;30;16711680;;;1;10534763;
1261023;03;16776960;;;0;10565983;
1261024;06;65535;;;0;10565983;
1261025;07;16711935;;;0;10565983;
1199819;03;16776960;;;0;10535423;
1199820;04;8388863;;;0;10535423;
1199821;02;65280;;;1;10535423;
1199822;01;255;;;1;10535423;
1199823;05;32768;;;0;10535423;
1267059;01;255;;;0;10567103;
1267060;02;65280;;;0;10567103;
1267061;03;16776960;;;0;10567103;
1397382;01;255;;;1;10595463;
1397383;05;32768;;;0;10595463;
1397384;03;16776960;;;0;10595463;
1397385;07;16711935;;;1;10595463;
1398159;02;65280;;;0;10595903;
1398160;03;16776960;;;0;10595903;
1398161;04;8388863;;;0;10595903;
1398162;05;32768;;;0;10595903;
1398163;01;255;;;0;10595903;
1398164;06;65535;;;0;10595903;
1399031;V 1;12632256;;;0;10596223;
1399032;V 2;16739914;;;0;10596223;
1406259;02;65280;;;1;10602083;
1398619;02;65280;;;0;10596443;
1323459;11;16744640;;;0;10577783;
1398620;05;32768;;;0;10596443;
1398621;03;16776960;;;0;10596443;
1398622;04;8388863;;;0;10596443;
1398623;01;255;;;0;10596443;
1398624;06;65535;;;0;10596443;
1399033;V 3;16574595;;;0;10596223;
1399034;V 4;16512;;;0;10596223;
1399035;V 5;15116503;;;0;10596223;
1399036;V 6;16636781;;;0;10596223;
1399037;V 7;12929932;;;0;10596223;
1399038;V 8;8421376;;;0;10596223;
1402840;85;9211020;;;0;10598843;
1402841;86;9539985;;;0;10598843;
1402859;87;9868950;;;0;10598843;
1402860;88;10197915;;;0;10598843;
1402861;89;10526880;;;0;10598843;
1402862;90;11184810;;;0;10598843;
1402863;91;12171705;;;0;10598843;
1402864;92;12500670;;;0;10598843;
1402865;93;13158600;;;0;10598843;
1402866;94;14145495;;;0;10598843;
1402867;95;15132390;;;0;10598843;
1402899;81;0;;;0;10598903;
1406260;01;255;;;1;10602083;
1186295;08;14068651;;;0;10519923;
1186296;10;33023;;;0;10519923;
1185999;01;255;;;0;10524983;
1186000;02;65280;;;0;10524983;
1186001;03;16776960;;;0;10524983;
1186002;04;8388863;;;0;10524983;
1186003;01;255;;;0;10524984;
1186004;02;65280;;;0;10524984;
1186005;01;255;;;0;10524985;
1186006;02;65280;;;0;10524985;
1324824;03;16776960;;;0;10578224;
1324825;02;65280;;;0;10578224;
1324826;04;8388863;;;0;10578224;
1323458;13;16744448;;;0;10577783;
1186297;02;65280;;;0;10519923;
1186298;05;32768;;;0;10519923;
1186299;03;16776960;;;1;10519923;
1186300;12;8503488;;;0;10519923;
1186301;04;8388863;;;0;10519923;
1186302;06;65535;;;0;10519923;
1186303;11;16744640;;;0;10519923;
1186304;07;16711935;;;0;10519923;
1186305;01;255;;;1;10519923;
1186306;13;16744448;;;1;10519923;
1186307;09;8405056;;;1;10519923;
1186308;20;12632256;;;1;10519923;
1186309;31;8388736;;;1;10519923;
1186310;30;16711680;;;1;10519923;
1323943;07;16711935;;;0;10578023;
1323944;06;65535;;;0;10578023;
1323945;02;65280;;;0;10578023;
1323946;09;8405056;;;0;10578023;
1323947;05;32768;;;0;10578023;
1324823;01;255;;;0;10578224;
1404860;01;255;;;0;10600504;
1095283;03;16776960;;;1;1018168;
1095284;01;255;;;1;1018168;
1095285;02;65280;;;1;1018168;
1095365;04;8388863;;;1;1018188;
1095361;02;65280;;;0;1018188;
1095362;01;255;;;0;1018188;
1095364;03;16776960;;;1;1018188;
1095405;03;16776960;;;1;1018209;
1095407;01;255;;;1;1018209;
1095408;02;65280;;;1;1018209;
1095409;04;8388863;;;1;1018209;
1100497;01;255;;;0;1020302;
1100498;02;65280;;;0;1020302;
1100499;03;16776960;;;0;1020302;
1100500;04;8388863;;;0;1020302;
1100501;05;32768;;;0;1020302;
1100505;01;255;;;0;1020304;
1100506;02;65280;;;0;1020304;
1258079;01;255;;;0;10564963;
1258080;02;65280;;;0;10564963;
1258199;01;255;;;0;10564983;
1258200;02;65280;;;0;10564983;
1258201;01;255;;;0;10564984;
1258202;02;65280;;;0;10564984;
1229119;04;8388863;;;0;10558783;
1229120;08;14068651;;;0;10558783;
1229121;10;33023;;;0;10558783;
1229122;06;65535;[$I_20:21][$I_20:21];;0;10558783;
1229123;07;16711935;;;0;10558783;
1229124;03;16776960;[$I_19:53][$I_19:53];;0;10558783;
1229125;11;16744640;[$I_22:55][$I_22:55];;0;10558783;
1213559;02;8453888;;;0;10545263;
1413720;51;32768;;;0;10604503;
1241459;63;16763693;;;0;10557203;
1151928;01;255;;;0;10502521;
1260259;01;255;;;0;10565423;
1261179;07;16711935;;;0;10566143;
1413719;61;160;;;0;10604503;
1413721;52;16711935;;;0;10604503;
1413722;53;128;;;0;10604503;
1260639;01;255;;;0;10565723;
1260640;02;65280;;;1;10565723;
