PLANNING_SCHEDULE_ID;TRIP_ID
10556403;2999649
10556403;2999650
10556403;2999651
10556403;2999683
10556403;2999684
10556403;2999685
10556403;2999686
10556403;2999687
10556403;2999688
10556403;2999689
10556403;2999690
10556403;2999691
10556403;2999692
10556403;2999693
10556403;2999694
10556403;2999695
10556403;2999696
10556403;2999697
10556403;2999698
10556403;2999699
10556403;2999700
10556403;2999701
10556403;2999702
10556403;2999703
10556403;2999704
10556403;2999705
10556403;2999706
10556403;2999707
10556403;2999708
10556403;2999709
10556403;2999710
10556403;2999711
10556403;2999712
10556403;2999713
10556403;2999714
10556403;2999715
10556403;2999716
10556403;2999717
10556403;2999718
10556403;2999719
10556403;2999720
10556403;2999721
10556403;2999722
10556403;2999723
10556403;2999724
10556403;2999725
10556403;2999726
10556403;2999727
10556403;2999728
10556403;2999729
10556403;2999730
10556403;2999731
10556403;2999732
10556403;2999733
10556403;2999734
10556403;2999735
10556403;2999736
10556403;2999737
10556403;2999738
10556403;2999739
10556403;2999740
10556403;2999741
10556403;2999742
10556403;2999743
10556403;2999744
10556403;2999745
10556403;2999746
10556403;2999747
10556403;2999748
10556403;2999749
10556403;2999750
10556403;2999751
10556403;2999752
10556403;2999753
10556403;2999754
10556403;2999755
10556403;2999756
10556403;2999757
10556403;2999758
10556403;2999759
10556403;2999760
10556403;2999761
10556403;2999762
10556403;2999763
10556403;2999764
10556403;2999765
10556403;2999766
10556403;2999767
10556403;2999768
10556403;2999769
10556403;2999770
10556403;2999771
10556403;2999772
10556403;2999774
10556403;2999796
10556403;2999797
10556403;2999798
10556403;2999799
10556403;2999800
10556403;2999801
10556403;2999802
10556403;2999803
10556403;2999804
10556403;2999805
10556403;2999806
10556403;2999807
10556403;2999808
10556403;2999809
10556403;2999810
10556403;2999811
10556403;2999812
10556403;2999813
10556403;2999814
10556403;2999815
10556403;2999816
10556403;2999817
10556403;2999818
10556403;2999819
10556403;2999820
10556403;2999821
10556403;2999822
10556403;2999823
10556403;2999824
10556403;2999825
10556403;2999826
10556403;2999827
10556403;2999828
10556403;2999829
10556403;2999830
10556403;2999831
10556403;2999832
10556403;2999833
10556403;2999834
10556403;2999835
10556403;2999836
10556403;2999837
10556403;2999838
10556403;2999839
10556403;2999840
10556403;2999841
10556403;2999842
10556403;2999843
10556403;2999844
10556403;2999846
10556403;2999847
10556403;2999848
10556403;2999849
10556403;2999850
10556403;2999851
10556403;2999852
10556403;2999853
10556403;2999854
10556403;2999856
10556403;2999857
10556403;2999858
10556403;2999859
10556403;2999860
10556403;2999861
10556403;2999862
10556403;2999863
10556403;2999864
10556403;2999865
10556403;2999866
10556403;2999867
10556403;2999868
10556403;2999869
10556403;2999870
10556403;2999871
10556403;2999873
10556403;2999874
10556403;2999875
10556403;2999876
10556403;2999877
10556403;2999878
10556403;2999879
10556403;2999880
10556403;2999881
10556403;2999883
10556403;2999896
10556403;2999897
10556403;2999898
10556403;2999899
10556403;2999900
