ID;NAME;EMPTY;TYPEVALUE;OLD_TYPEVALUE
4001245;BMDeus_PUAjuda;N;0;0
4001247;PUAjuda_BMDeus;N;0;0
4001281;CREst_ERoma-Ar;N;1;0
4001283;ERoma-Ar_CREst;N;1;0
4001321;SSueste_EStApoln;N;0;0
4001361;CREst_Marvila;Y;1;0
4001363;Marvila_CREst;Y;1;0
4001405;MPombal=SRoubado;N;0;0
4001441;EStApoln=PontinhM;N;0;0
4001407;SRoubado=MPombal;N;0;0
4001443;PontinhM=EStApoln;N;0;0
4001445;SSebast=EOriente;N;0;0
4001447;EOriente=SSebast;N;0;0
4001449;CSodre=CGrandeM;N;0;0
4001451;CGrandeM=CSodre;N;0;0
4001521;EStApoln_MPombal;N;0;0
4001523;MPombal_EStApoln;N;0;0
4001561;RAlfand=GFreire;N;0;0
4003001;CasAjuda=BMDeus_PU;N;0;0
4003178;MMoniz=Estrela12E;N;0;0
1023564;EscGerais=PLCamoes;N;0;0
1025633;PFigueir=StAmaro;N;0;0
1025634;StAmaro=PFigueir;N;0;0
1025635;StAmaro=AlgesJ-751;N;0;0
1025636;AlgesJ=StAmaro-751;N;0;0
4003179;Estrela=MMoniz12E;N;0;0
1023570;PLCamoes_Prazeres;N;0;0
4004800;ROuro_LCarmo;N;0;0
1025713;CSodre_HStMaria;N;0;0
1025714;HStMaria_CSodre;N;0;0
1025715;CSodre_Alameda;N;0;0
1025716;Alameda_CSodre;N;0;0
4004801;LCarmo_ROuro;N;0;0
4003620;V-Bica_RSPaulo;Y;1;0
1025717;Mg(Est)_Alameda;Y;1;0
1025718;Alameda_Mg(Est);Y;1;0
1025762;Mg(Est)_Benfica;Y;1;0
4003621;V-RSPaulo_Bica;Y;1;0
1024318;Mf(Est)_Saldanha;Y;1;0
1025763;Benfica_Mg(Est);Y;1;0
4003622;V-Bica_LCalhariz;Y;1;0
4003623;V-LCalhariz_Bica;Y;1;0
4003640;MPombal_CentroS;N;0;0
1025936;SRoubado_CSodre736M;N;0;0
4003800;BStCruz_Charneca;N;0;0
4003801;Charneca_BStCruz;N;0;0
4004802;V-StJusta_ROuro;Y;1;0
4004803;V-ROuro_StJusta;Y;1;0
4004804;V-StJusta_LCarmo;Y;1;0
4004805;V-LCarmo_StJusta;Y;1;0
4004820;Mf(Est)_BelemJ;Y;1;0
4004840;Mf(Est)_Prazeres;Y;1;0
4004841;Prazeres_Mf(Est);Y;1;0
1023712;SA(Est)_Graca;Y;1;0
1024319;Saldanha_Mf(Est);Y;1;0
