ID;NAME
1320;R_(85A)9A-1-DESC
1321;85B-0-ASC_Alive
1322;85B-0-DESC_Alive
1338;750-4-DESC
315;755-0-ASC
1757;R_8A-0-ASC
1337;750-4-ASC
1758;R_8A-0-DESC
1759;R_8B-0-ASC
1777;R_8B-0-DESC
1778;88C-0-ASC
1797;88C-0-DESC
1798;88C-1-ASC
1799;88C-1-DESC
1897;742-8-ASC
2117;61B-0-ASC
2137;61B-0-DESC
2177;46B-2-CIRC
2197;723-5-ASC
2198;723-5-DESC
2217;13B-0-CIRC
2237;794-1-ASC
2257;794-1-DESC
2337;R_98D-0-CIRC
2377;10B-0-CIRC
2438;81A-0-DESC
2398;R_MCP-0-CIRC
2437;81A-0-ASC
2517;82A-0-ASC
2518;R_88-0-DESC
2519;82A-0-DESC
2537;727-7-ASC
2677;746-5-DESC_InterrpML
2697;726-5-ASC_InterrpML
2717;726-6-ASC_InterrpML
2737;726-7-ASC_InterrpML
2757;84C-0-ASC_Kalorama
2777;84C-0-DESC_Kalorama
2797;84F-0-ASC_Kalorama
2817;84F-0-DESC_Kalorama
2837;84G-0-ASC_Kalorama
2857;84G-0-DESC_Kalorama
2877;87A-0-ASC_JSonoro
2878;87A-0-DESC_JSonoro
2879;87B-0-ASC_JSonoro
2880;87B-0-DESC_JSonoro
3117;714-0-ASC_InterrupRPrata
357;744-0-ASC
358;744-0-DESC
497;753-4-ASC
557;15E-4-ASC
577;15E-4-DESC
697;15E-1-ASC_Fig-SA
717;15E-1-DESC_SA-Fig
737;15E-2-ASC_Inativa
757;15E-2-DESC_Inativa
797;797-1-ASC
798;742-8-DESC
799;797-1-DESC
977;40B-0-DESC
997;770-4-CIRC
1323;85D-0-ASC_Alive
1324;85D-0-DESC_Alive
1325;85C-0-ASC_Alive
1326;85C-0-DESC_Alive
1377;728-4-ASC
1378;728-4-DESC
1597;34B-0-CIRC
1737;28E-6-ASC
1738;28E-6-DESC
1857;201-6-ASC_Retirado
1858;201-6-DESC_Retirado
2017;776-2-ASC
1878;22B-0-CIRC
2018;776-2-DESC
2037;64B-0-CIRC
2057;65B-0-CIRC
2097;46B-0-CIRC
2157;55B-0-CIRC
2277;750-2-DESC
2297;52B-0-CIRC
2497;732-2-ASC
2498;732-2-DESC
2557;728-7-ASC
2558;728-7-DESC
2577;201-6-ASC
2597;201-6-DESC
2977;25E-0-DESC_CSanto
2997;12E-0-ASC_InterrupRPrata
3017;12E-0-DESC_InterrupRPrata
3037;15E-8-ASC_InterrupRPrata
3057;15E-8-DESC_InterrupRPrata
3077;711-8-ASC_InterrupRPrata
3097;711-8-DESC_InterrupRPrata
3237;731-0->1
377;84C-0-ASC_RIR
378;84C-0-DESC_RIR
379;84F-0-ASC_RIR
380;84F-0-DESC_RIR
477;202-1-DESC
478;708-3-ASC
517;729-9V-D
597;51E-0-ASC
598;51E-0-DESC
1177;723-1-ASC
1178;723-1-DESC
1197;724-4-ASC
897;R_97-0-ASC
898;R_97-0-DESC
1217;723-4-ASC
