ID;NAME;SHORT_NAME;LATITUDE;LONGITUDE;LABEL_POS;VISIBLE;ACTIVE;CODE
682;Pq. Campismo;Pq. Campismo;38,7280387878418;-9,20935916900635;T;Y;Y;14008
683;Igreja S. Sebastião Pedreira;Igreja S. Sebastião Pedreira;38,7318077087402;-9,15161609649658;T;Y;Y;1401
684;Igreja S. Sebastião Pedreira;Igreja S. Sebastião Pedreira;38,7316017150879;-9,15178203582764;T;Y;Y;1402
685;S. Sebastião;S. Sebastião;38,7340316772461;-9,15352439880371;T;Y;Y;1403
686;S. Sebastião;S. Sebastião;38,7335205078125;-9,15338897705078;T;Y;Y;1404
687;B.º Azul;B.º Azul;38,7333488464355;-9,15481185913086;T;Y;Y;1405
688;B.º Azul;B.º Azul;38,7334098815918;-9,15452098846436;T;Y;Y;1406
689;Av. Visconde Valmor;Av. Visconde Valmor;38,7375183105469;-9,14951801300049;T;Y;Y;1407
690;Av. Visconde Valmor;Av. Visconde Valmor;38,7378997802734;-9,14988803863525;T;Y;Y;1408
691;Av. Marquês Tomar;Av. Marquês Tomar;38,736629486084;-9,15063953399658;T;Y;Y;1409
692;Av. Marquês Tomar;Av. Marquês Tomar;38,734935760498;-9,14956855773926;T;Y;Y;1410
693;Estr. Militar (Escorpioes);Estr. Militar (Escorpioes);38,7709999084473;-9,19358158111572;T;Y;Y;14101
694;Estr. Militar (Escorpioes);Estr. Militar (Escorpioes);38,7709617614746;-9,19340324401855;T;Y;Y;14102
695;Serra Luz;Serra Luz;38,7722206115723;-9,1907377243042;T;Y;Y;14103
696;Serra Luz;Serra Luz;38,7719802856445;-9,19020366668701;T;Y;Y;14104
697;R. Rio Tejo;R. Rio Tejo;38,7709808349609;-9,18897342681885;T;Y;Y;14105
698;R. Rio Tejo;R. Rio Tejo;38,7710800170898;-9,18924045562744;T;Y;Y;14106
699;B.º Padre Cruz;B.º Padre Cruz;38,7695388793945;-9,1897144317627;T;Y;Y;14107
700;B.º Padre Cruz;B.º Padre Cruz;38,7692489624023;-9,18922805786133;T;Y;Y;14108
701;Bº PADRE CRUZ;Bº PADRE CRUZ;38,7695426940918;-9,1897144317627;T;Y;Y;14109
702;S. Sebastião;S. Sebastião;38,7353897094727;-9,14899826049805;T;N;N;1411
703;Mal Penteada;Mal Penteada;38,7689399719238;-9,19549465179443;T;Y;Y;14110
704;Mal Penteada;Mal Penteada;38,768798828125;-9,19581031799316;T;Y;Y;14111
705;B.º Padre Cruz;B.º Padre Cruz;38,769588470459;-9,18963432312012;T;Y;Y;14112
706;Serra Luz;Serra Luz;38,7724418640137;-9,19019794464111;T;Y;Y;14113
707;R. Rio Minho;R. Rio Minho;38,7714195251465;-9,18653964996338;T;Y;Y;14114
708;Cemiterio Carnide;Cemiterio Carnide;38,7732582092285;-9,18292713165283;T;Y;Y;14115
710;PAIoIS;PAIoIS;38,7760620117188;-9,18471145629883;T;Y;Y;14118
711;Av. Marquês Tomar;Av. Marquês Tomar;38,736141204834;-9,14948081970215;T;Y;Y;1412
712;Qta. Olival (C. Triagem);Qta. Olival (C. Triagem);38,777041;-9,174498;T;Y;Y;14109
713;CEMITeRIO CARNIDE;CEMITeRIO CARNIDE;38,7736053466797;-9,18268013000488;T;Y;Y;14122
714;S. Sebastião;S. Sebastião;38,7348518371582;-9,15266132354736;T;Y;Y;1413
715;S. Sebastião;S. Sebastião;38,734790802002;-9,15236473083496;T;Y;Y;1414
