LINE_VERSION_ID;PATH_ID;ID;ORIENTATION;INTERNAL
108;4000405;12674;2;N
1000097;4005860;12049;1;N
1000097;4005861;12050;2;N
1000393;1024794;12068;1;N
1000393;1024795;12069;2;N
1000393;1026176;12070;1;N
1000393;1026177;12071;2;N
1000393;1024353;12072;1;N
1000393;1024352;12073;2;N
1000393;4006780;12074;1;N
1000393;4006781;12075;2;N
46;4001247;12748;2;N
108;4000403;12675;1;N
108;4000841;12676;1;N
108;4003041;12677;1;N
108;4005480;12678;2;Y
108;4005481;12679;1;Y
108;4006000;12680;2;Y
108;4007520;12681;2;N
4001128;4006660;12693;1;N
4001128;4006661;12694;2;N
1000352;1025013;12695;1;N
1000352;1025014;12696;2;N
1000252;1025759;12697;1;N
1000252;4001921;12698;2;N
1000252;4004360;12699;1;Y
1000252;4004361;12700;2;Y
1000252;4005840;12701;1;N
1000252;4005841;12702;2;N
1000556;4003800;12731;2;N
1000556;4003801;12732;1;N
1000232;4006080;12848;1;N
1000232;4006081;12849;2;N
1000232;4006100;12850;1;N
1000232;4006101;12851;2;N
1000232;4006140;12852;1;N
1000232;4005301;12853;2;Y
1000232;4005300;12854;1;Y
1000568;12747;2737;2;N
1000568;7366;2739;1;N
4001388;4007620;12828;1;N
4001428;4007761;13510;2;Y
4001388;4007621;12829;2;N
4001188;4007240;12148;3;N
4001188;4007400;12149;3;N
4001428;4007760;13511;1;Y
4001448;4007820;13508;1;Y
4001268;4007301;11948;3;N
4001288;4007320;11968;3;N
4001448;4007821;13509;2;Y
1000561;1025713;2399;1;N
1000561;1025714;2401;2;N
1000561;1025715;2403;1;N
4001408;4007700;13512;1;Y
4001408;4007701;13513;2;Y
1000561;1025716;2405;2;N
4000361;1024953;8808;1;N
4000361;1024954;8809;2;N
4000529;4003322;13528;1;Y
4000529;4003323;13529;2;Y
4000808;4003320;8754;2;Y
4000808;4003321;8755;1;Y
4000529;4007600;13530;3;Y
4000528;4003320;13531;1;Y
4000528;4003321;13532;2;Y
4000528;4005502;13533;2;Y
4000528;4005501;13534;1;Y
1000011;4001847;9508;1;N
1000011;4001845;9509;2;N
1000011;4003920;9510;2;N
4000528;4007600;13535;3;Y
1000009;1025573;13908;3;Y
1000009;4004900;13909;3;N
4001568;4008040;13830;1;Y
4001568;4008041;13831;2;Y
4001588;4008040;13848;1;Y
4001588;4008041;13849;2;Y
1000009;4004901;13910;3;N
1000009;4005180;13911;1;Y
1000009;4003825;13912;2;Y
4000361;4002283;8810;2;N
4000361;4002441;8811;1;N
4000361;4002281;8812;1;N
4000361;4002443;8813;2;N
4000361;4002561;8814;1;N
4000361;4002563;8815;2;N
4000361;4002921;8816;1;Y
4000361;4002923;8817;2;Y
4000361;4004520;8818;0;N
4001248;4007300;11928;3;N
1000554;12461;4665;1;N
1000554;12462;4666;2;N
1000554;12463;4667;2;N
1000554;4003640;4668;1;N
1000011;4003921;9511;1;N
1000565;1024873;4672;1;N
1000565;1024874;4673;2;N
1000565;1024875;4674;1;N
1000011;4005260;9512;1;Y
1000011;4005261;9513;2;Y
1000011;4005900;9514;1;N
1000011;4005901;9515;2;N
4000568;1026034;5416;1;N
4000568;1026033;5417;2;N
4000608;1026034;5554;2;N
4000608;1026033;5555;1;N
4000608;1023504;5556;1;N
1000098;1026104;5088;2;N
1000098;1026103;5089;1;N
1000039;1024933;14008;1;N
1000012;4003827;10828;2;Y
4000255;1025174;3848;2;N
4000255;4002123;3849;2;N
4000255;4002121;3850;1;N
4000255;1025173;3851;1;N
1000567;4005820;13317;1;N
1000567;4005821;13318;2;N
1000569;4004400;13328;1;N
1000039;1024934;14009;2;N
1000039;1025633;14010;0;Y
1000039;1025634;14011;0;Y
1000039;1025635;14012;0;Y
